t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,4.262692223199244346e+00,4.291844779668727128e+00,4.847708067677493071e-01,3.485684893908036486e-02,1.931571902479896519e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428748042922425e+00,2.018568261591545454e+00
1.000000000000000000e+01,9.939636331133385738e-01,2.985523747114764319e+02,9.999998673127603599e-01,4.212260783719864676e+00,4.244422197469607028e+00,4.901484426401379046e-01,3.485684878807842474e-02,1.931305801704441771e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999619073922374e-02,2.066162725388785759e+00,0.000000000000000000e+00,2.066162646683259219e+00,2.018412126940836160e+00
2.000000000000000000e+01,9.899192177614939414e-01,2.988103293363447506e+02,9.999997425949144203e-01,4.195082183573040524e+00,4.228881863812241626e+00,4.918963618976441299e-01,3.485684867621256094e-02,1.931114450577910535e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999586980985733e-02,2.065971380452479522e+00,0.000000000000000000e+00,2.065971295123933071e+00,2.018192547619140242e+00
3.000000000000000000e+01,9.871393364187724950e-01,2.989756868594787420e+02,9.999996201874737922e-01,4.186117368669836303e+00,4.220840870111121745e+00,4.927939873409948879e-01,3.485684859390434515e-02,1.930982404545170228e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999563367774347e-02,2.065839338973955108e+00,0.000000000000000000e+00,2.065839248772752157e+00,2.018029912345876919e+00
4.000000000000000000e+01,9.851650303491087390e-01,2.990816843791525912e+02,9.999994989633279596e-01,4.180613948605942376e+00,4.215862926288393986e+00,4.933493081487697052e-01,3.485684853260569843e-02,1.930893661002466510e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999545781951271e-02,2.065750598823012485e+00,0.000000000000000000e+00,2.065750504992891479e+00,2.017920633799875407e+00
5.000000000000000000e+01,9.837054473233957097e-01,2.991496305300871086e+02,9.999993784555106791e-01,4.176919726982996295e+00,4.212469400990038082e+00,4.937296438262383513e-01,3.485684848570648475e-02,1.930835022791979938e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999532327145946e-02,2.065691963207763493e+00,0.000000000000000000e+00,2.065691866600957827e+00,2.017850354690306602e+00
6.000000000000000000e+01,9.825755676580248954e-01,2.991931852938096768e+02,9.999992584271333307e-01,4.174256859387671881e+00,4.209980134051778400e+00,4.940109537875772006e-01,3.485684844844941926e-02,1.930796696036352289e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999521638552880e-02,2.065653638514093782e+00,0.000000000000000000e+00,2.065653539701187036e+00,2.017806791107130238e+00
7.000000000000000000e+01,9.816573946234529169e-01,2.992211050947679496e+02,9.999991387460669401e-01,4.172209640058592406e+00,4.208034664716903350e+00,4.942330404216468409e-01,3.485684841754699975e-02,1.930771818882349278e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999512773030674e-02,2.065628763070630924e+00,0.000000000000000000e+00,2.065628662427626772e+00,2.017781004293609737e+00
8.000000000000000000e+01,9.808755486683962133e-01,2.992390029110599698e+02,9.999990193343804012e-01,4.170541273635418378e+00,4.206427462037050979e+00,4.944183995432671064e-01,3.485684839078180552e-02,1.930755743157174242e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999505094425700e-02,2.065612688827223931e+00,0.000000000000000000e+00,2.065612586598900347e+00,2.017766855138690474e+00
9.000000000000000000e+01,9.801818207970585117e-01,2.992504766805031977e+02,9.999989001442414205e-01,4.169111941804119148e+00,4.205036387523104047e+00,4.945803123275777091e-01,3.485684836668020981e-02,1.930745384141593579e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999498179974744e-02,2.065602331146135118e+00,0.000000000000000000e+00,2.065602227490073606e+00,2.017760243611680604e+00
