t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,4.143221008661750915e+00,4.291844779668727128e+00,2.471428721914608939e+00,1.645688630067427161e+00,6.593986839500335151e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999949359177132e+00,1.023967574774373546e+01,0.000000000000000000e+00,1.023967540204666449e+01,1.029979853173732529e+01
5.000000000000000000e+00,9.831742685119901903e-01,2.992901514887134908e+02,9.999997233659912999e-01,4.056988126893438462e+00,4.211261284555627427e+00,2.517583110986807426e+00,1.645688607840391837e+00,6.591041932084891641e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999929099845364e+00,1.023673092924894767e+01,0.000000000000000000e+00,1.023673044539174448e+01,1.029509884192959035e+01
1.000000000000000000e+01,9.697125567549009784e-01,3.002019581743022059e+02,9.999994468076164322e-01,4.029494464752823468e+00,4.186645944916207895e+00,2.529520742596333083e+00,1.645688583807381589e+00,6.587680601716112250e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999907194417226e+00,1.023336969492527615e+01,0.000000000000000000e+00,1.023336906178271732e+01,1.028320730186717924e+01
1.500000000000000000e+01,9.588519917272980697e-01,3.009308079768848643e+02,9.999991711097871994e-01,4.011720611831581351e+00,4.170875189089162660e+00,2.536448564939718153e+00,1.645688559105325854e+00,6.584109378714077643e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999884679172224e+00,1.022979857053085873e+01,0.000000000000000000e+00,1.022979778405830054e+01,1.027231721726451497e+01
2.000000000000000000e+01,9.500115063691939588e-01,3.015132995293650993e+02,9.999988962916541713e-01,3.998804942737179680e+00,4.159384603634936006e+00,2.541147850377476480e+00,1.645688534635581179e+00,6.580526472797734172e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999862375672732e+00,1.022621576218492123e+01,0.000000000000000000e+00,1.022621482393421211e+01,1.026282570980526287e+01
2.500000000000000000e+01,9.427482081354405796e-01,3.019787507439387468e+02,9.999986222667714975e-01,3.988952593269290858e+00,4.150545294054899692e+00,2.544576745982897847e+00,1.645688511028556844e+00,6.577093024616755379e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999840858519118e+00,1.022278240803582605e+01,0.000000000000000000e+00,1.022278132345667068e+01,1.025469865073891640e+01
3.000000000000000000e+01,9.367217639586957745e-01,3.023506283480878665e+02,9.999983489327277653e-01,3.981216260792322270e+00,4.143524747861754953e+00,2.547206178368689233e+00,1.645688488663699101e+00,6.573921375182568028e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999820473565837e+00,1.021961084760454952e+01,0.000000000000000000e+00,1.021960962447768750e+01,1.024782473567574392e+01
3.500000000000000000e+01,9.316687599337282188e-01,3.026477093697919827e+02,9.999980761929317952e-01,3.975008395347868984e+00,4.137818931632580188e+00,2.549307998553374421e+00,1.645688467718041892e+00,6.571076297560816570e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999801382175146e+00,1.021676585327629994e+01,0.000000000000000000e+00,1.021676450045509199e+01,1.024207327619942909e+01
4.000000000000000000e+01,9.273841039934602737e-01,3.028850144851340929e+02,9.999978039624648485e-01,3.969932635062440873e+00,4.133092875905134633e+00,2.551052300592169253e+00,1.645688448221334088e+00,6.568583323949932051e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999783611461801e+00,1.021427295715427874e+01,0.000000000000000000e+00,1.021427148365321536e+01,1.023730937442533317e+01
4.500000000000000000e+01,9.237073472124922580e-01,3.030745564903407967e+02,9.999975321689970054e-01,3.965708555499019017e+00,4.129111195426538039e+00,2.552550118941848911e+00,1.645688430105799682e+00,6.566439414584198886e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999767099650105e+00,1.021212911976182980e+01,0.000000000000000000e+00,1.021212753415620078e+01,1.023340098502289486e+01
