t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,4.193402413228032088e+00,4.291844779668727128e+00,1.636974289014345718e+00,8.365643745379288676e-01,5.927927562783130710e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.864492165694024983e+00,0.000000000000000000e+00,6.864491933945004121e+00,6.819705023536350552e+00
5.000000000000000000e+00,1.000000000000000000e+00,2.939253888078287105e+02,9.999998128023184218e-01,4.170682299379967262e+00,4.292671854567436718e+00,1.644538138091094837e+00,8.365643745379288676e-01,5.932100047413804589e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.868664650465564847e+00,0.000000000000000000e+00,6.868664418575677999e+00,6.853402871522304984e+00
1.000000000000000000e+01,1.000000000000000000e+00,2.905460188997901128e+02,9.999996263763019089e-01,4.149992551215682113e+00,4.293307755360197042e+00,1.651124251296730128e+00,8.365643745379288676e-01,5.932955229240318040e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869519832320949426e+00,0.000000000000000000e+00,6.869519600402191450e+00,6.882699190104679232e+00
1.500000000000000000e+01,1.000000000000000000e+00,2.878431282302043996e+02,9.999994403397493015e-01,4.131470876370371137e+00,4.293799922417007586e+00,1.657176026982199790e+00,8.365643745379288676e-01,5.933186392356269323e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869750995444705133e+00,0.000000000000000000e+00,6.869750763518142733e+00,6.909489998150713852e+00
2.000000000000000000e+01,1.000000000000000000e+00,2.856816426717147692e+02,9.999992544375528869e-01,4.115175752348546823e+00,4.294182991199918753e+00,1.662668619858625352e+00,8.365643745379288676e-01,5.933264267197465358e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869828870288530176e+00,0.000000000000000000e+00,6.869828638359338768e+00,6.933708673219292962e+00
2.500000000000000000e+01,1.000000000000000000e+00,2.839533849007802360e+02,9.999990685162323256e-01,4.101066887562317298e+00,4.294482558808295991e+00,1.667553406224057122e+00,8.365643745379288676e-01,5.933295522829054036e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869860125921174010e+00,0.000000000000000000e+00,6.869859893990927446e+00,6.955183447063192581e+00
3.000000000000000000e+01,1.000000000000000000e+00,2.825717217574034521e+02,9.999988823441097185e-01,4.089021988589318646e+00,4.294717752564242375e+00,1.671815865988148131e+00,8.365643745379288676e-01,5.933309943617919302e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869874546710525998e+00,0.000000000000000000e+00,6.869874314779792712e+00,6.973881274207278658e+00
3.500000000000000000e+01,1.000000000000000000e+00,2.814672874407874019e+02,9.999986957377342556e-01,4.078863054085659634e+00,4.294903009282236006e+00,1.675475301969295838e+00,8.365643745379288676e-01,5.933317378227661365e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869881981320519415e+00,0.000000000000000000e+00,6.869881749389534775e+00,6.989907688897361027e+00
4.000000000000000000e+01,1.000000000000000000e+00,2.805845558165044622e+02,9.999985087600919975e-01,4.070382150797516196e+00,4.295049323676062514e+00,1.678574757611088542e+00,8.365643745379288676e-01,5.933321565638301820e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869886168731301090e+00,0.000000000000000000e+00,6.869885936800175230e+00,7.003465024286400720e+00
4.500000000000000000e+01,1.000000000000000000e+00,2.798790908977217669e+02,9.999983214697522049e-01,4.063362401321696460e+00,4.295165135369758858e+00,1.681170801023736061e+00,8.365643745379288676e-01,5.933324096475086407e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869888699568170942e+00,0.000000000000000000e+00,6.869888467636959817e+00,7.014809782102969571e+00
