t_s,soc_p5,soc_p50,soc_p95
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,9.829350685250611841e-01,9.831741370402861113e-01,9.833714457841237211e-01
1.000000000000000000e+01,9.688154513793338918e-01,9.696860594826296476e-01,9.703267533867531158e-01
1.500000000000000000e+01,9.571120961333081656e-01,9.588092903897780239e-01,9.599665175687750462e-01
2.000000000000000000e+01,9.473543365376407843e-01,9.499537679924054956e-01,9.516617481876303852e-01
2.500000000000000000e+01,9.391512660761195397e-01,9.426752130408440067e-01,9.449353979083952026e-01
3.000000000000000000e+01,9.322061021607148668e-01,9.366346348432834645e-01,9.394190385370108087e-01
3.500000000000000000e+01,9.262823282964371963e-01,9.315688443813970876e-01,9.348363381947786266e-01
4.000000000000000000e+01,9.211903334951423439e-01,9.272728362439475180e-01,9.309761400214908722e-01
4.500000000000000000e+01,9.167773521890544286e-01,9.235861586901350506e-01,9.276763403064921532e-01
5.000000000000000000e+01,9.129104364983486875e-01,9.203827480582055243e-01,9.248120398100724282e-01
5.500000000000000000e+01,9.094932862894907766e-01,9.175632551636907497e-01,9.222867308591436997e-01
6.000000000000000000e+01,9.064509000461673516e-01,9.150491931529030065e-01,9.200256774986801389e-01
6.500000000000000000e+01,9.037167534559732429e-01,9.127784361909041522e-01,9.179709031037672773e-01
7.000000000000000000e+01,9.012364149815146330e-01,9.107017327831923303e-01,9.160773707541429722e-01
7.500000000000000000e+01,8.989652808332341261e-01,9.087799895322830057e-01,9.143100576764950915e-01
8.000000000000000000e+01,8.968667556501367377e-01,9.069821452678545892e-01,9.126417054241409144e-01
8.500000000000000000e+01,8.949107843371705284e-01,9.052835010102409097e-01,9.110510842001792176e-01
9.000000000000000000e+01,8.930726626824648795e-01,9.036644040839658665e-01,9.095216504706599148e-01
9.500000000000000000e+01,8.913320707315175451e-01,9.021092087810405058e-01,9.080405067058339164e-01
1.000000000000000000e+02,8.896722851251099851e-01,9.006054538690786426e-01,9.065975940035406744e-01
1.050000000000000000e+02,8.880795358732304079e-01,8.991432106966954496e-01,9.051850646994656913e-01
1.100000000000000000e+02,8.865424801411732059e-01,8.977145658731808808e-01,9.037967943765232715e-01
1.150000000000000000e+02,8.850517711293195422e-01,8.963132103357807079e-01,9.024280020174342276e-01
1.200000000000000000e+02,8.835997044352027485e-01,8.949341126678149738e-01,9.010749541621755343e-01
1.250000000000000000e+02,8.821799276840710524e-01,8.935732592300895671e-01,8.997347343866525238e-01
1.300000000000000000e+02,8.807872019135217778e-01,8.922274473363480674e-01,8.984050636152710601e-01
1.350000000000000000e+02,8.794172053555145974e-01,8.908941205789093765e-01,8.970841600181277409e-01
1.400000000000000000e+02,8.780663719927891409e-01,8.895712376719611125e-01,8.957706297482107560e-01
1.450000000000000000e+02,8.767317586658692763e-01,8.882571679632799144e-01,8.944633817151110833e-01
1.500000000000000000e+02,8.754109356401345021e-01,8.869506081745287540e-01,8.931615610983676401e-01
1.550000000000000000e+02,8.741018964632223387e-01,8.856505160461315418e-01,8.918644974743171749e-01
1.600000000000000000e+02,8.728029836931172625e-01,8.843560574474498281e-01,8.905716643409927746e-01
1.650000000000000000e+02,8.715128276895550696e-01,8.830665642152433215e-01,8.892826475344272064e-01
1.700000000000000000e+02,8.702302961621287691e-01,8.817815005413616181e-01,8.879971205817960289e-01
1.750000000000000000e+02,8.689544525785969364e-01,8.805004361742395647e-01,8.867148254670006446e-01
1.800000000000000000e+02,8.676845218731858989e-01,8.792230250517174550e-01,8.854355576195926947e-01
1.850000000000000000e+02,8.664198621707286385e-01,8.779489882636182241e-01,8.841591541993875092e-01
1.900000000000000000e+02,8.651599414692999757e-01,8.766781004662190790e-01,8.828854849529744753e-01
1.950000000000000000e+02,8.639043184104389095e-01,8.754101790488961754e-01,8.816144450773755192e-01
2.000000000000000000e+02,8.626526264194581683e-01,8.741450754952001523e-01,8.803459496501674364e-01
2.050000000000000000e+02,8.614045606245572806e-01,8.728826684936925595e-01,8.790799292821508404e-01
2.100000000000000000e+02,8.601598670674044378e-01,8.716228584440525173e-01,8.778163267241910761e-01
2.150000000000000000e+02,8.589183338034536153e-01,8.703655630757931583e-01,8.765550942187759764e-01
2.200000000000000000e+02,8.576797835607867793e-01,8.691107139542202376e-01,8.752961914328171167e-01
2.250000000000000000e+02,8.564440676843906308e-01,8.678582536939247749e-01,8.740395838441225029e-01
2.300000000000000000e+02,8.552110611406675833e-01,8.666081337365076909e-01,8.727852414819597948e-01
2.350000000000000000e+02,8.539806583964779652e-01,8.653603125782676209e-01,8.715331379439947845e-01
2.400000000000000000e+02,8.527527700195396410e-01,8.641147543567303524e-01,8.702832496289476527e-01
2.450000000000000000e+02,8.515273198738778637e-01,8.628714277233410224e-01,8.690355551376216514e-01
2.500000000000000000e+02,8.503042428061224900e-01,8.616303049443827522e-01,8.677900348053513291e-01
2.550000000000000000e+02,8.490834827367239601e-01,8.603913611838975850e-01,8.665466703370300339e-01
2.600000000000000000e+02,8.478649910851938643e-01,8.591545739317592023e-01,8.653054445221998181e-01
2.650000000000000000e+02,8.466487254709020860e-01,8.579199225475001578e-01,8.640663410126337984e-01
2.700000000000000000e+02,8.454346486411885575e-01,8.566873878964640365e-01,8.628293441486964976e-01
2.750000000000000000e+02,8.442227275870066716e-01,8.554569520595757259e-01,8.615944388237777307e-01
2.800000000000000000e+02,8.430129328132773825e-01,8.542285981018336027e-01,8.603616103784346159e-01
2.850000000000000000e+02,8.418052377368649974e-01,8.530023098876247101e-01,8.591308445177385789e-01
2.900000000000000000e+02,8.405996181898507391e-01,8.517780719333911676e-01,8.579021272467138859e-01
2.950000000000000000e+02,8.393960520096708233e-01,8.505558692900698770e-01,8.566754448199057626e-01
3.000000000000000000e+02,8.381945187009157694e-01,8.493356874492947739e-01,8.554507837019846850e-01
3.050000000000000000e+02,8.369949991562535274e-01,8.481175122685349343e-01,8.542281305369402444e-01
3.100000000000000000e+02,8.357974754261250361e-01,8.469013299113419269e-01,8.530074721240097357e-01
3.150000000000000000e+02,8.346019305286861423e-01,8.456871267996401986e-01,8.517887953988273475e-01
3.200000000000000000e+02,8.334083482929427467e-01,8.444748895756329921e-01,8.505720874186794012e-01
3.250000000000000000e+02,8.322167132292759284e-01,8.432646050713588082e-01,8.493573353509407120e-01
3.300000000000000000e+02,8.310270104225703225e-01,8.420562602843664202e-01,8.481445264640048443e-01
3.350000000000000000e+02,8.298392254439742599e-01,8.408498423582573267e-01,8.469336481201551470e-01
3.400000000000000000e+02,8.286507210638237586e-01,8.396453385671147629e-01,8.457246877699479137e-01
3.450000000000000000e+02,8.274638894854863258e-01,8.384427363030303448e-01,8.445176329477841470e-01
3.500000000000000000e+02,8.262789364749193455e-01,8.372420230660997387e-01,8.433124712683928159e-01
3.550000000000000000e+02,8.250958489598543277e-01,8.360431864563900861e-01,8.421091904240404213e-01
3.600000000000000000e+02,8.239146140891192571e-01,8.348462141674750647e-01,8.409077781822937858e-01
3.650000000000000000e+02,8.227352192058139391e-01,8.336510939812220577e-01,8.397082223842249338e-01
3.700000000000000000e+02,8.215576518251365146e-01,8.324578137635797459e-01,8.385105109429488168e-01
3.750000000000000000e+02,8.203818996160464616e-01,8.312663614611572882e-01,8.373146318424319334e-01
3.800000000000000000e+02,8.192079503860902889e-01,8.300767250984415480e-01,8.361205731364996785e-01
3.850000000000000000e+02,8.180357920688340334e-01,8.288888927755146963e-01,8.349283229480077839e-01
3.900000000000000000e+02,8.168654127134467036e-01,8.277028526661799335e-01,8.337378694681389923e-01
3.950000000000000000e+02,8.156968004760475344e-01,8.265185930164036243e-01,8.325492009557885487e-01
4.000000000000000000e+02,8.145299436125261749e-01,8.253361021430142275e-01,8.313623057370359559e-01
4.050000000000000000e+02,8.133648304725543676e-01,8.241553684326055063e-01,8.301771722046611401e-01
4.100000000000000000e+02,8.122014494945993812e-01,8.229763803405996114e-01,8.289937888177162373e-01
4.150000000000000000e+02,8.110397892017511268e-01,8.217991263904429466e-01,8.278121441011235815e-01
4.200000000000000000e+02,8.098798381982261763e-01,8.206235951728999556e-01,8.266322266453078882e-01
4.250000000000000000e+02,8.087215851664254496e-01,8.194497753454332845e-01,8.254540251058385403e-01
4.300000000000000000e+02,8.075650188644546423e-01,8.182776556316440075e-01,8.242775282030984085e-01
4.350000000000000000e+02,8.064101281240179109e-01,8.171072248207671418e-01,8.231027247219547816e-01
4.400000000000000000e+02,8.052569018486287478e-01,8.159384717672082399e-01,8.219296035114441734e-01
4.450000000000000000e+02,8.041053290120718788e-01,8.147713853901095149e-01,8.207582634606858107e-01
4.500000000000000000e+02,8.029553986570855395e-01,8.136059546729452752e-01,8.195894281815810922e-01
4.550000000000000000e+02,8.018070998942087302e-01,8.124421686631337902e-01,8.184222415731842171e-01
4.600000000000000000e+02,8.006604219007807943e-01,8.112800164716706952e-01,8.172566927447990626e-01
4.650000000000000000e+02,7.995153539200566817e-01,8.101194872727726093e-01,8.160927708683693993e-01
4.700000000000000000e+02,7.983718852604215765e-01,8.089605703035296358e-01,8.149304651781779096e-01
4.750000000000000000e+02,7.972300052946847959e-01,8.078032548635682986e-01,8.137697649705570857e-01
4.800000000000000000e+02,7.960897034594432986e-01,8.066475303147208065e-01,8.126106596035886920e-01
4.850000000000000000e+02,7.949509692544995954e-01,8.054933860806992030e-01,8.114531384968143302e-01
4.900000000000000000e+02,7.938137922423249560e-01,8.043408116467720692e-01,8.102971911309387876e-01
4.950000000000000000e+02,7.926781620475579215e-01,8.031897965594472222e-01,8.091428070475359391e-01
5.000000000000000000e+02,7.915440683565434510e-01,8.020403304261538580e-01,8.079899758487564254e-01
5.050000000000000000e+02,7.904115009168847239e-01,8.008924029149323554e-01,8.068386871970325558e-01
5.100000000000000000e+02,7.892804495370274731e-01,7.997460037541188616e-01,8.056889308147850981e-01
5.150000000000000000e+02,7.881509040858568627e-01,7.986011227320382044e-01,8.045406964841276265e-01
5.200000000000000000e+02,7.870228544923124625e-01,7.974577496966912538e-01,8.033939740465746437e-01
5.250000000000000000e+02,7.858962907450133262e-01,7.963158745554494988e-01,8.022487534027451517e-01
5.300000000000000000e+02,7.847712028918911731e-01,7.951754872747462954e-01,8.011050245120709956e-01
5.350000000000000000e+02,7.836475810398397801e-01,7.940365778797731089e-01,7.999627773924996577e-01
5.400000000000000000e+02,7.825254153543643731e-01,7.928991364541719822e-01,7.988220021202040444e-01
5.450000000000000000e+02,7.814046960592433422e-01,7.917631531397316680e-01,7.976826888292849471e-01
5.500000000000000000e+02,7.802854134361890681e-01,7.906286181360832055e-01,7.965448277114797193e-01
5.550000000000000000e+02,7.791675578245188527e-01,7.894955217003973846e-01,7.954084090158679565e-01
5.600000000000000000e+02,7.780511196208277358e-01,7.883638541470832095e-01,7.942734230485776203e-01
5.650000000000000000e+02,7.769360892786630890e-01,7.872336058474846965e-01,7.931398601724937159e-01
5.700000000000000000e+02,7.758224573082058706e-01,7.861047672295793376e-01,7.920077108069649707e-01
5.750000000000000000e+02,7.747102142759513255e-01,7.849773287776813380e-01,7.908769654275109584e-01
5.800000000000000000e+02,7.735993508043939038e-01,7.838512810321376367e-01,7.897476145655319968e-01
5.850000000000000000e+02,7.724898575717150662e-01,7.827266145890315885e-01,7.886196488080161604e-01
5.900000000000000000e+02,7.713817253114699790e-01,7.816033200998848685e-01,7.874930587972500673e-01
5.950000000000000000e+02,7.702749448122795384e-01,7.804813882713592665e-01,7.863678352305271124e-01
6.000000000000000000e+02,7.691695069175226163e-01,7.793608098649615901e-01,7.852439688598578105e-01
6.050000000000000000e+02,7.680654025250298611e-01,7.782415756967480114e-01,7.841214504916819150e-01
6.100000000000000000e+02,7.669626225867803848e-01,7.771236766370277493e-01,7.830002709865805377e-01
6.150000000000000000e+02,7.658611581085961184e-01,7.760071036100715247e-01,7.818804212589858249e-01
6.200000000000000000e+02,7.647610001498439392e-01,7.748918475938164629e-01,7.807618922768970737e-01
6.250000000000000000e+02,7.636621398231339120e-01,7.737778996195757708e-01,7.796446750615916299e-01
6.300000000000000000e+02,7.625645682940198622e-01,7.726652507717470808e-01,7.785287606873400046e-01
6.350000000000000000e+02,7.614682767807050556e-01,7.715538921875229050e-01,7.774141402811226564e-01
6.400000000000000000e+02,7.603732565537438814e-01,7.704438150566006449e-01,7.763008050223445533e-01
6.450000000000000000e+02,7.592794989357486424e-01,7.693378403144517375e-01,7.751887461425526205e-01
6.500000000000000000e+02,7.581869953010950125e-01,7.682351222982797267e-01,7.740779549251517455e-01
6.550000000000000000e+02,7.570957370756319360e-01,7.671336580642826863e-01,7.729684227051271117e-01
6.600000000000000000e+02,7.560057157363891944e-01,7.660334390391704273e-01,7.718601408687588705e-01
6.650000000000000000e+02,7.549169228112913022e-01,7.649344567006219897e-01,7.707531008533469175e-01
6.700000000000000000e+02,7.538293498788662950e-01,7.638367025770016472e-01,7.696472941469297835e-01
6.750000000000000000e+02,7.527429885679612909e-01,7.627401128265453023e-01,7.685427122880055251e-01
6.800000000000000000e+02,7.516578305574563856e-01,7.616403148579684590e-01,7.674393468652588313e-01
6.850000000000000000e+02,7.505738675759803247e-01,7.605417212617004985e-01,7.663371895172825798e-01
6.900000000000000000e+02,7.494910914016278403e-01,7.594443237389911783e-01,7.652362319323033901e-01
6.950000000000000000e+02,7.484094938616794312e-01,7.583481140404737531e-01,7.641364658479069538e-01
7.000000000000000000e+02,7.473290668323208097e-01,7.572530839658928592e-01,7.630378830507682508e-01
7.050000000000000000e+02,7.462498022383640128e-01,7.561592253638254046e-01,7.619404753763755478e-01
7.100000000000000000e+02,7.451716920529695143e-01,7.550665301314072320e-01,7.608442347087636115e-01
7.150000000000000000e+02,7.440947282973711108e-01,7.539749902140622240e-01,7.597491529802414822e-01
7.200000000000000000e+02,7.430189030405992545e-01,7.528845976052296329e-01,7.586552221711252431e-01
7.250000000000000000e+02,7.419442083992119352e-01,7.517953443460918539e-01,7.575624343094693458e-01
7.300000000000000000e+02,7.408706365370166802e-01,7.507072225253091924e-01,7.564707814708012679e-01
7.350000000000000000e+02,7.397981796648038788e-01,7.496202242787479708e-01,7.553802557778563909e-01
7.400000000000000000e+02,7.387268300400767762e-01,7.485343417892151852e-01,7.542908494003123243e-01
7.450000000000000000e+02,7.376565799667820222e-01,7.474495672861931617e-01,7.532025545545273371e-01
7.500000000000000000e+02,7.365874217950437730e-01,7.463658930455738805e-01,7.521153635032772344e-01
7.550000000000000000e+02,7.355193479208966822e-01,7.452833113893979622e-01,7.510292685554951220e-01
7.600000000000000000e+02,7.344523507860245548e-01,7.442018146855902128e-01,7.499442620660121683e-01
7.650000000000000000e+02,7.333864228774958915e-01,7.431213953477000533e-01,7.488603364352974801e-01
7.700000000000000000e+02,7.323215567275013216e-01,7.420420458346403958e-01,7.477774841092035274e-01
7.750000000000000000e+02,7.312577449130959195e-01,7.409637586504331797e-01,7.466965544455307358e-01
7.800000000000000000e+02,7.301949800559375259e-01,7.398865263439465823e-01,7.456187540414255244e-01
7.850000000000000000e+02,7.291332548220315068e-01,7.388103415086424430e-01,7.445420040417375374e-01
7.900000000000000000e+02,7.280725619214739597e-01,7.377351967823229106e-01,7.434662970876662058e-01
7.950000000000000000e+02,7.270128941081961393e-01,7.366610848468735373e-01,7.423916258644663868e-01
8.000000000000000000e+02,7.259542441797115497e-01,7.355879984280127015e-01,7.413179831012027821e-01
8.050000000000000000e+02,7.248966049768630349e-01,7.345159302950405866e-01,7.402453615704972512e-01
8.100000000000000000e+02,7.238399693835734228e-01,7.334448732605904908e-01,7.391737540882838964e-01
8.150000000000000000e+02,7.227843303265942820e-01,7.323748201803783608e-01,7.381031535135603727e-01
8.200000000000000000e+02,7.217296807752595633e-01,7.313057639529558784e-01,7.370335527481441940e-01
8.250000000000000000e+02,7.206760137412359102e-01,7.302376975194665443e-01,7.359649447364278174e-01
8.300000000000000000e+02,7.196233222782784100e-01,7.291706138633977652e-01,7.348973224651345060e-01
8.350000000000000000e+02,7.185715994819893426e-01,7.281045060103392697e-01,7.338306789630784088e-01
8.400000000000000000e+02,7.175208384895689351e-01,7.270393670277406351e-01,7.327650073009235321e-01
8.450000000000000000e+02,7.164710324795791063e-01,7.259751900246703693e-01,7.317003005909443747e-01
8.500000000000000000e+02,7.154221746717014385e-01,7.249119681515754365e-01,7.306365519867865643e-01
8.550000000000000000e+02,7.143742583264964807e-01,7.238496946000423371e-01,7.295737546832313791e-01
8.600000000000000000e+02,7.133272767451690477e-01,7.227883626025610742e-01,7.285119019159596032e-01
8.650000000000000000e+02,7.122812232693293000e-01,7.217279654322883431e-01,7.274509869613162705e-01
8.700000000000000000e+02,7.112360912807583757e-01,7.206684964028127194e-01,7.263910031360776287e-01
