t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,4.262692223199244346e+00,4.291844779668727128e+00,4.847708067677493071e-01,3.485684893908036486e-02,1.931571902479896519e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428748042922425e+00,2.018568261591545454e+00
1.000000000000000000e+01,9.994404605995769186e-01,2.981499999999999773e+02,9.999998588483813844e-01,4.259592478475136446e+00,4.291844779668727128e+00,4.847708368509215382e-01,3.485684892583723604e-02,1.931571901746036435e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999658595225271e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428747257825993e+00,2.018568391488944069e+00
2.000000000000000000e+01,9.988836516824431966e-01,2.981499999999999773e+02,9.999997188106695134e-01,4.255042608028885454e+00,4.289092744025921888e+00,4.850862013331120881e-01,3.485684891251079193e-02,1.931571901007559156e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999654772032120e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428746467790400e+00,2.018586913169646113e+00
3.000000000000000000e+01,9.983285304110575131e-01,2.981499999999999773e+02,9.999995821184873845e-01,4.243754726914578335e+00,4.278902121529544189e+00,4.862575016435906616e-01,3.485684889907618433e-02,1.931571900263088226e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999650917808236e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428745671342604e+00,2.018655462993561134e+00
4.000000000000000000e+01,9.977749694403877934e-01,2.981499999999999773e+02,9.999994484600265299e-01,4.235763898788323267e+00,4.271557770260539399e+00,4.871052007777012527e-01,3.485684888552998545e-02,1.931571899512433355e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999647031571071e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428744868279210e+00,2.018705213720511260e+00
5.000000000000000000e+01,9.972232188794700747e-01,2.981499999999999773e+02,9.999993168240670638e-01,4.229596073436475479e+00,4.265776731947194200e+00,4.877745621829355782e-01,3.485684887187801700e-02,1.931571898755917616e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999643114990122e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428744058945721e+00,2.018744587009240643e+00
6.000000000000000000e+01,9.966734142851518818e-01,2.981499999999999773e+02,9.999991866716517741e-01,4.224569250535036069e+00,4.260986150251158122e+00,4.883306534355920103e-01,3.485684885812351946e-02,1.931571897993720421e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999639168995202e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428743243533983e+00,2.018777361061121489e+00
7.000000000000000000e+01,9.961256353230522054e-01,2.981499999999999773e+02,9.999990576768480466e-01,4.220314646265682867e+00,4.256880010495069477e+00,4.888083162780999524e-01,3.485684884426846347e-02,1.931571897225950352e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999635194149750e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428742422160347e+00,2.018805561378339331e+00
8.000000000000000000e+01,9.955799301515667610e-01,2.981499999999999773e+02,9.999989296253293247e-01,4.216613187590859013e+00,4.253275474666566858e+00,4.892284081678281993e-01,3.485684883031409803e-02,1.931571896452677128e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999631190814586e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428741594899421e+00,2.018830401647977890e+00
9.000000000000000000e+01,9.950363274412690195e-01,2.981499999999999773e+02,9.999988023672213844e-01,4.213325871101101683e+00,4.250054525932751126e+00,4.896044137677568187e-01,3.485684881626124193e-02,1.931571895673946715e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999627159224247e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428740761800498e+00,2.018852667161000980e+00
1.000000000000000000e+02,9.944948430034088460e-01,2.981499999999999773e+02,9.999986757926154768e-01,4.210359870614196254e+00,4.247136538926060467e+00,4.899455581645877356e-01,3.485684880211043640e-02,1.931571894889787977e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999623099532775e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428739922893776e+00,2.018872895514939980e+00
1.100000000000000000e+02,9.939554837512242225e-01,2.981499999999999773e+02,9.999985498178066701e-01,4.207650525538620734e+00,4.244463980524282753e+00,4.902584322498959590e-01,3.485684878786199370e-02,1.931571894100218900e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999619011830376e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428739078199239e+00,2.018891471027286499e+00
1.200000000000000000e+02,9.934182502152493210e-01,2.981499999999999773e+02,9.999984243770723147e-01,4.205151147631398523e+00,4.241994353345273083e+00,4.905479096992901855e-01,3.485684877351608729e-02,1.931571893305249032e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999614896167011e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428738227726658e+00,2.018908678034492699e+00
1.300000000000000000e+02,9.928831382181168008e-01,2.981499999999999773e+02,9.999982994175109496e-01,4.202826965944467474e+00,4.239695372527259032e+00,4.908176965824560534e-01,3.485684875907278657e-02,1.931571892504881705e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999610752562107e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428737371480473e+00,2.018924732856131055e+00
1.400000000000000000e+02,9.923501400331601330e-01,2.981499999999999773e+02,9.999981748956603411e-01,4.200651383482244761e+00,4.237541933733444566e+00,4.910706772223636385e-01,3.485684874453204296e-02,1.931571891699115140e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999606581003175e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428736509457575e+00,2.018939803919676645e+00
1.500000000000000000e+02,9.918192452115119906e-01,2.981499999999999773e+02,9.999980507752008752e-01,4.198603581489105174e+00,4.235514129030099717e+00,4.913091407380940079e-01,3.485684872989378708e-02,1.931571890887944454e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999602381466624e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428735641653081e+00,2.018954024948681258e+00
1.600000000000000000e+02,9.912904411882753619e-01,2.981499999999999773e+02,9.999979270253448460e-01,4.196666937843829714e+00,4.233595904019599843e+00,4.915349345033032669e-01,3.485684871515783850e-02,1.931571890071360542e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999598153905267e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428734768057662e+00,2.018967503900150895e+00
