t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,3.962884047628078221e+00,4.291844779668727128e+00,5.470208406360186792e+00,2.222269035591419417e+00,1.885553261543071102e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999662394515321e-02,2.167780236262030513e+01,0.000000000000000000e+00,2.167780163076580635e+01,2.282695205351285495e+01
5.000000000000000000e+00,9.968284824997336591e-01,2.981500000099999852e+02,9.999993943137925889e-01,3.910606797351440900e+00,4.262259475046346502e+00,5.515169174369582983e+00,2.222269030678385882e+00,1.885553257368442459e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999640286330593e-02,2.167780236256017901e+01,0.000000000000000000e+00,2.167780158277999547e+01,2.285674877884366296e+01
1.000000000000000000e+01,9.936398722842659792e-01,2.981500000199999363e+02,9.999987849317961697e-01,3.874251282454080680e+00,4.242991980412419650e+00,5.544897054015732962e+00,2.222269025414499222e+00,1.885553252896122345e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999616599340724e-02,2.167780236250005998e+01,0.000000000000000000e+00,2.167780153137168497e+01,2.287662049265458464e+01
1.500000000000000000e+01,9.904455925963229213e-01,2.981500000299999442e+02,9.999981740372173578e-01,3.849142043251891465e+00,4.230712610850129174e+00,5.564037367475906493e+00,2.222269019793690958e+00,1.885553248120960035e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999591306235613e-02,2.167780236243993386e+01,0.000000000000000000e+00,2.167780147648166533e+01,2.288950987290674988e+01
2.000000000000000000e+01,9.872495402101175710e-01,2.981500000399999522e+02,9.999975623806153235e-01,3.829927703799250516e+00,4.221298730410448563e+00,5.578816814468632757e+00,2.222269013798642057e+00,1.885553243028261861e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999564329085933e-02,2.167780236237980773e+01,0.000000000000000000e+00,2.167780141794100857e+01,2.289951920967630983e+01
2.500000000000000000e+01,9.840535568407604572e-01,2.981500000499999601e+02,9.999969503213059774e-01,3.814537524623649034e+00,4.213457334050569436e+00,5.591199005907481201e+00,2.222269007408013586e+00,1.885553237599922127e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999535571864329e-02,2.167780236231968516e+01,0.000000000000000000e+00,2.167780135554155052e+01,2.290794539348566516e+01
3.000000000000000000e+01,9.808587154128686203e-01,2.981500000599999680e+02,9.999963380721381689e-01,3.801838290087697025e+00,4.206612381494307940e+00,5.602061682928259678e+00,2.222269000598073418e+00,1.885553231815804054e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999504927779836e-02,2.167780236225955903e+01,0.000000000000000000e+00,2.167780128905178216e+01,2.291536903964085070e+01
3.500000000000000000e+01,9.776657136165398665e-01,2.981500000699999759e+02,9.999957257744175321e-01,3.791110129690347996e+00,4.200456600433420284e+00,5.611874165258645242e+00,2.222268993343111898e+00,1.885553225654093978e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999472281140278e-02,2.167780236219943646e+01,0.000000000000000000e+00,2.167780121822092099e+01,2.292210095137500048e+01
4.000000000000000000e+01,9.744750371164389025e-01,2.981500000799999839e+02,9.999951135289867343e-01,3.781860309432432565e+00,4.194806594647336517e+00,5.620917068095407920e+00,2.222268985615548864e+00,1.885553219091390531e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999437507840760e-02,2.167780236213931389e+01,0.000000000000000000e+00,2.167780114277992709e+01,2.292832713370759734e+01
4.500000000000000000e+01,9.712870398605508715e-01,2.981500000899999918e+02,9.999945014115256825e-01,3.773737305297438560e+00,4.189544085600445555e+00,5.629371620787781971e+00,2.222268977385927879e+00,1.885553212102700016e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999400475328981e-02,2.167780236207918421e+01,0.000000000000000000e+00,2.167780106244144989e+01,2.293416780829380741e+01
