t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,4.143221008661750915e+00,4.291844779668727128e+00,2.471428721914608939e+00,1.645688630067427161e+00,6.593986839500335151e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999949359177132e+00,1.023967574774373546e+01,0.000000000000000000e+00,1.023967540204666449e+01,1.029979853173732529e+01
5.000000000000000000e+00,9.985713247889912436e-01,2.981499999999999773e+02,9.999997242459571778e-01,4.124929127839585874e+00,4.282885282597360899e+00,2.476986964881002340e+00,1.645688628457003810e+00,6.593986833047649654e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999947891320407e+00,1.023967574774373546e+01,0.000000000000000000e+00,1.023967539202641319e+01,1.030146110035935614e+01
1.000000000000000000e+01,9.971399284775217531e-01,2.981499999999999773e+02,9.999994485506807917e-01,4.099513314993414426e+00,4.264998082586949124e+00,2.488159572439252898e+00,1.645688626796699916e+00,6.593986826395101808e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999946377998938e+00,1.023967574774373546e+01,0.000000000000000000e+00,1.023967538169580038e+01,1.030480589923939583e+01
1.500000000000000000e+01,9.957070884839104297e-01,2.981499999999999773e+02,9.999991724874760513e-01,4.082954934451455742e+00,4.254078722206669383e+00,2.495032427529629615e+00,1.645688625086429768e+00,6.593986819542347888e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999944819134789e+00,1.023967574774373546e+01,0.000000000000000000e+00,1.023967537105429138e+01,1.030687446542657604e+01
2.000000000000000000e+01,9.942743853861403247e-01,2.981499999999999773e+02,9.999988959927487153e-01,4.070607566176330572e+00,4.246018470369630649e+00,2.500131662481136274e+00,1.645688623326610367e+00,6.593986812491059446e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999943215107878e+00,1.023967574774373546e+01,0.000000000000000000e+00,1.023967536010447965e+01,1.030841533245777519e+01
2.500000000000000000e+01,9.928425652903700716e-01,2.981499999999999773e+02,9.999986192117310546e-01,4.060835539799326988e+00,4.239526916527231570e+00,2.504254708485996517e+00,1.645688621516767869e+00,6.593986805239336668e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999941565486106e+00,1.023967574774373546e+01,0.000000000000000000e+00,1.023967534884341823e+01,1.030966536893444108e+01
3.000000000000000000e+01,9.914120620203804579e-01,2.981499999999999773e+02,9.999983422301932379e-01,4.052814991625576901e+00,4.234028764381143617e+00,2.507758246753106768e+00,1.645688619656086260e+00,6.593986797783911058e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999939869526067e+00,1.023967574774373546e+01,0.000000000000000000e+00,1.023967533726603207e+01,1.031073068891207178e+01
3.500000000000000000e+01,9.899831568984006624e-01,2.981499999999999773e+02,9.999980651049585889e-01,4.046054444821639784e+00,4.229216986404026990e+00,2.510833095422651429e+00,1.645688617743571447e+00,6.593986790120797359e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999938126321375e+00,1.023967574774373546e+01,0.000000000000000000e+00,1.023967532536613056e+01,1.031166812713216352e+01
4.000000000000000000e+01,9.885560450379521358e-01,2.981499999999999773e+02,9.999977878764861883e-01,4.040232159188797745e+00,4.224908261573546930e+00,2.513593407260094281e+00,1.645688615778117203e+00,6.593986782245566225e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999936334863726e+00,1.023967574774373546e+01,0.000000000000000000e+00,1.023967531313683565e+01,1.031251171474456463e+01
4.500000000000000000e+01,9.871308679765962157e-01,2.981499999999999773e+02,9.999975105750621429e-01,4.035125451671217611e+00,4.220984321790254512e+00,2.516112942672967812e+00,1.645688613758537588e+00,6.593986774153463237e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999934494072429e+00,1.023967574774373546e+01,0.000000000000000000e+00,1.023967530057076303e+01,1.031328345761680865e+01
