t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,4.193402413228032088e+00,4.291844779668727128e+00,1.636974289014345718e+00,8.365643745379288676e-01,5.927927562783130710e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.864492165694024983e+00,0.000000000000000000e+00,6.864491933945004121e+00,6.819705023536350552e+00
5.000000000000000000e+00,9.990540473717938186e-01,2.981499998749999349e+02,9.999998125906645052e-01,4.187445519241256520e+00,4.291844779693727574e+00,1.636974890201857269e+00,8.365643739985140215e-01,5.927927559197093466e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999655946537058e-02,6.864492165930302647e+00,0.000000000000000000e+00,6.864491929755072164e+00,6.819707608199875537e+00
1.000000000000000000e+01,9.981085097485673518e-01,2.981499997499999495e+02,9.999996260139063509e-01,4.166428748228127255e+00,4.275741980868310144e+00,1.643438687453792069e+00,8.365643734490401107e-01,5.927927555539779014e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999649378317479e-02,6.864492166166581200e+00,0.000000000000000000e+00,6.864491925482601786e+00,6.820985264628288469e+00
1.500000000000000000e+01,9.971622086567842880e-01,2.981499996249999640e+02,9.999994401461040905e-01,4.152187533700138822e+00,4.265204310001309729e+00,1.647697195358236000e+00,8.365643728886201780e-01,5.927927551804899942e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999642679252565e-02,6.864492166402859752e+00,0.000000000000000000e+00,6.864491921120311702e+00,6.821830659509473094e+00
2.000000000000000000e+01,9.962161492039665056e-01,2.981499994999999785e+02,9.999992546663541981e-01,4.141691852474396640e+00,4.257521023437672802e+00,1.650816637446498536e+00,8.365643723176398039e-01,5.927927547995188284e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999635853951130e-02,6.864492166639136528e+00,0.000000000000000000e+00,6.864491916671366489e+00,6.822452024737749809e+00
2.500000000000000000e+01,9.952708102610126062e-01,2.981499993749999931e+02,9.999990694387737022e-01,4.133426487443315089e+00,4.251404179542834783e+00,1.653308897474227379e+00,8.365643717362003517e-01,5.927927544111365243e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999628903627480e-02,6.864492166875415968e+00,0.000000000000000000e+00,6.864491912136601037e+00,6.822949846529846596e+00
3.000000000000000000e+01,9.943264700931885303e-01,2.981499992500000076e+02,9.999988843913879544e-01,4.126653094855781134e+00,4.246279278937413970e+00,1.655403050126584175e+00,8.365643711442951602e-01,5.927927540153379304e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999621828198348e-02,6.864492167111693632e+00,0.000000000000000000e+00,6.864491907515955837e+00,6.823369164624675243e+00
3.500000000000000000e+01,9.933833089630864643e-01,2.981499991250000221e+02,9.999986994816485453e-01,4.120943324668953522e+00,4.241839619512727921e+00,1.657221687271485333e+00,8.365643705418647214e-01,5.927927536120812135e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999614626953193e-02,6.864492167347972185e+00,0.000000000000000000e+00,6.864491902808945945e+00,6.823734110902504035e+00
4.000000000000000000e+01,9.924414517187165607e-01,2.981499990000000366e+02,9.999985146827539140e-01,4.116022695128630282e+00,4.237902032902025162e+00,1.658838165645494245e+00,8.365643699288193291e-01,5.927927532013026024e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999607298822035e-02,6.864492167584248961e+00,0.000000000000000000e+00,6.864491898014832394e+00,6.824059138986397599e+00
4.500000000000000000e+01,9.915009887635392039e-01,2.981499988750000512e+02,9.999983299771224576e-01,4.111704127293969613e+00,4.234348329383232468e+00,1.660299895260339831e+00,8.365643693050500707e-01,5.927927527829251808e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999599842501752e-02,6.864492167820528401e+00,0.000000000000000000e+00,6.864491893132726119e+00,6.824353597423962192e+00
