t_s,soc_p5,soc_p50,soc_p95
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,9.985658085495949798e-01,9.985744925157178375e-01,9.985804541515901356e-01
1.000000000000000000e+01,9.971287823800624173e-01,9.971462884502331203e-01,9.971583040774716356e-01
1.500000000000000000e+01,9.956902427376890241e-01,9.957166471153362508e-01,9.957347679584249711e-01
2.000000000000000000e+01,9.942517946727880140e-01,9.942871438963196695e-01,9.943114008305847795e-01
2.500000000000000000e+01,9.928141962097466466e-01,9.928585223926509329e-01,9.928889368572625385e-01
3.000000000000000000e+01,9.913778882242416657e-01,9.914312149506208094e-01,9.914678026264828192e-01
3.500000000000000000e+01,9.899431567054856052e-01,9.900055019203510831e-01,9.900482746756079644e-01
4.000000000000000000e+01,9.885102000820494839e-01,9.885815777295591245e-01,9.886305447276758640e-01
4.500000000000000000e+01,9.870791623643412338e-01,9.871595834082935728e-01,9.872147517982665654e-01
5.000000000000000000e+01,9.856501514037125933e-01,9.857396245071017304e-01,9.858009998830526976e-01
5.500000000000000000e+01,9.842232497961674875e-01,9.843217817968417105e-01,9.843893685197009358e-01
6.000000000000000000e+01,9.827985218022493585e-01,9.829061180590084046e-01,9.829799194905680659e-01
6.500000000000000000e+01,9.813760179532970973e-01,9.814926826056540321e-01,9.815727012842301313e-01
7.000000000000000000e+01,9.799557782379332282e-01,9.800815144060952555e-01,9.801677521817598882e-01
7.500000000000000000e+01,9.785378343774695509e-01,9.786726443195954417e-01,9.787651024605125150e-01
8.000000000000000000e+01,9.771222114945802284e-01,9.772660967326813886e-01,9.773647760102388560e-01
8.500000000000000000e+01,9.757089293651028949e-01,9.758618907874062609e-01,9.759667915454294240e-01
9.000000000000000000e+01,9.742980033756520886e-01,9.744600413209432155e-01,9.745711635327228839e-01
9.500000000000000000e+01,9.728894452687699701e-01,9.730605595967081189e-01,9.731779029125398051e-01
1.000000000000000000e+02,9.714832637314988473e-01,9.716634538818431643e-01,9.717870176690703854e-01
1.050000000000000000e+02,9.700794648664872177e-01,9.702687299094419071e-01,9.703985132864926255e-01
1.100000000000000000e+02,9.686780525735597669e-01,9.688763912529245736e-01,9.690123931184818629e-01
1.150000000000000000e+02,9.672790288620706223e-01,9.674864396324946991e-01,9.676286586906804876e-01
1.200000000000000000e+02,9.658823941090545206e-01,9.660988751684169706e-01,9.662473099506813101e-01
1.250000000000000000e+02,9.644881472744473161e-01,9.647136965921712104e-01,9.648683454764295231e-01
1.300000000000000000e+02,9.630962860819395344e-01,9.633309014238862211e-01,9.634917626513463951e-01
1.350000000000000000e+02,9.617068071720519251e-01,9.619504861225200987e-01,9.621175578125511496e-01
1.400000000000000000e+02,9.603197062325676825e-01,9.605724462138232056e-01,9.607457263771527201e-01
1.450000000000000000e+02,9.589349781103480019e-01,9.591967764000348673e-01,9.593762629505162565e-01
1.500000000000000000e+02,9.575526169077319683e-01,9.578234706544563881e-01,9.580091614195990202e-01
1.550000000000000000e+02,9.561726160660829477e-01,9.564525223034121559e-01,9.566444150338396790e-01
1.600000000000000000e+02,9.547949684385451663e-01,9.550839240976224387e-01,9.552820164755969623e-01
1.650000000000000000e+02,9.534196663536897987e-01,9.537176682746428824e-01,9.539219579217711464e-01
1.700000000000000000e+02,9.520467016714304620e-01,9.523537466137130814e-01,9.525642310979324234e-01
1.750000000000000000e+02,9.506760658323334390e-01,9.509921504841292172e-01,9.512088273260593807e-01
1.800000000000000000e+02,9.493077499012690934e-01,9.496328708880620306e-01,9.498557375667940894e-01
1.850000000000000000e+02,9.479417446061833008e-01,9.482758984985886208e-01,9.485049524569714174e-01
1.900000000000000000e+02,9.465780403726484771e-01,9.469212236935812266e-01,9.471564623430632768e-01
1.950000000000000000e+02,9.452166273547433217e-01,9.455688365859971078e-01,9.458102573110674927e-01
2.000000000000000000e+02,9.438574954627342306e-01,9.442187270510284947e-01,9.444663272132989285e-01
2.050000000000000000e+02,9.425006343879547277e-01,9.428708847505038460e-01,9.431246616924678916e-01
2.100000000000000000e+02,9.411460336252227554e-01,9.415252991548737072e-01,9.417852502033734474e-01
2.150000000000000000e+02,9.397936824930881450e-01,9.401819595630676041e-01,9.404480820324967461e-01
2.200000000000000000e+02,9.384435701521618434e-01,9.388408551204694419e-01,9.391131463157372794e-01
2.250000000000000000e+02,9.370956856217439457e-01,9.375019748352230176e-01,9.377804320544997907e-01
2.300000000000000000e+02,9.357500177949388265e-01,9.361653075930538304e-01,9.364499281303184652e-01
2.350000000000000000e+02,9.344065554524200179e-01,9.348308421707660631e-01,9.351216233181726123e-01
2.400000000000000000e+02,9.330652872749902738e-01,9.334985672485578423e-01,9.337955062986359467e-01
2.450000000000000000e+02,9.317262018550603875e-01,9.321684714212744582e-01,9.324715656689778198e-01
2.500000000000000000e+02,9.303892877071548995e-01,9.308405432087097919e-01,9.311497899533250910e-01
2.550000000000000000e+02,9.290545332775470566e-01,9.295147710650492057e-01,9.298301676119781201e-01
2.600000000000000000e+02,9.277219269531027379e-01,9.281911433875399409e-01,9.285126870499609275e-01
2.650000000000000000e+02,9.263914570694100625e-01,9.268696485244599659e-01,9.271973366248827952e-01
2.700000000000000000e+02,9.250631119182666229e-01,9.255502747824552179e-01,9.258841046541733677e-01
2.750000000000000000e+02,9.237368797545766341e-01,9.242330104332990848e-01,9.245729794217505404e-01
2.800000000000000000e+02,9.224127488027170640e-01,9.229178437201313034e-01,9.232639491841708734e-01
2.850000000000000000e+02,9.210907072624172631e-01,9.216047628632186850e-01,9.219570021763128231e-01
2.900000000000000000e+02,9.197707433141963929e-01,9.202937560652822979e-01,9.206521266166260986e-01
2.950000000000000000e+02,9.184528451243948455e-01,9.189848115164261921e-01,9.193493107119948826e-01
3.000000000000000000e+02,9.171370008498356263e-01,9.176779173987046345e-01,9.180485426622367884e-01
3.050000000000000000e+02,9.158231986421460080e-01,9.163730618903529468e-01,9.167498106642776312e-01
