t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,4.262692223199244346e+00,4.291844779668727128e+00,4.847708067677493071e-01,3.485684893908036486e-02,1.931571902479896519e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428748042922425e+00,2.018568261591545454e+00
1.000000000000000000e+01,9.939636424420837946e-01,2.985523746320627083e+02,9.999998668247147560e-01,4.215462678346032277e+00,4.244502878819316649e+00,4.901389964506210339e-01,3.485684878807866760e-02,1.931305801760749175e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999619073991763e-02,2.066162725445079840e+00,0.000000000000000000e+00,2.066162646739567954e+00,2.018411578398427775e+00
2.000000000000000000e+01,9.899192441289444977e-01,2.988103291355935767e+02,9.999997412258748719e-01,4.200146869555329232e+00,4.229014449070127135e+00,4.918807268990583736e-01,3.485684867621331728e-02,1.931114450733673049e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999586981203614e-02,2.065971380608199848e+00,0.000000000000000000e+00,2.065971295279698250e+00,2.018191645185509309e+00
3.000000000000000000e+01,9.871393857275569950e-01,2.989756865249829048e+02,9.999996177875546399e-01,4.192262172685982335e+00,4.221006819510426666e+00,4.927743456760401708e-01,3.485684859390584395e-02,1.930982404820140275e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999563368205946e-02,2.065839339248842332e+00,0.000000000000000000e+00,2.065839249047728199e+00,2.018028783601981679e+00
4.000000000000000000e+01,9.851651060486823486e-01,2.990816839230888036e+02,9.999994954704148897e-01,4.187385194530913068e+00,4.216050312204391304e+00,4.933270786934030316e-01,3.485684853260809929e-02,1.930893661391519744e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999545782639609e-02,2.065750599211932936e+00,0.000000000000000000e+00,2.065750505381954483e+00,2.017919359997834228e+00
5.000000000000000000e+01,9.837055514048723692e-01,2.991496299730829378e+02,9.999993738468754279e-01,4.184054764037664853e+00,4.212670559987034657e+00,4.937057432523067613e-01,3.485684848570988481e-02,1.930835023278570484e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999532328118779e-02,2.065691963694166411e+00,0.000000000000000000e+00,2.065691867087561917e+00,2.017848987591281062e+00
6.000000000000000000e+01,9.825757012437468241e-01,2.991931846572655331e+02,9.999992526989136543e-01,4.181603638544730828e+00,4.210190146308886661e+00,4.939859725645126542e-01,3.485684844845387403e-02,1.930796696600975526e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999521639831024e-02,2.065653639078470327e+00,0.000000000000000000e+00,2.065653540265827814e+00,2.017805363746215885e+00
7.000000000000000000e+01,9.816575583187754361e-01,2.992211043976271299e+02,9.999991319036136694e-01,4.179680104563400000e+00,4.208250373234705854e+00,4.942073583087971400e-01,3.485684841755256475e-02,1.930771819506814202e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999512774626620e-02,2.065628763694787651e+00,0.000000000000000000e+00,2.065628663052113012e+00,2.017779537790162614e+00
8.000000000000000000e+01,9.808757427720843358e-01,2.992390021688091224e+02,9.999990113874851483e-01,4.178084391525829666e+00,4.206646841482077903e+00,4.943922605913776969e-01,3.485684839078850156e-02,1.930755743826253923e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999505096346386e-02,2.065612689495932575e+00,0.000000000000000000e+00,2.065612587268006006e+00,2.017765363012951951e+00
9.000000000000000000e+01,9.801820454270747662e-01,2.992504759052116583e+02,9.999988911047233975e-01,4.176698110320173463e+00,4.205258138658814815e+00,4.945538733306903967e-01,3.485684836668806463e-02,1.930745384843307599e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999498182228497e-02,2.065602331847414153e+00,0.000000000000000000e+00,2.065602228191818046e+00,2.017758734529301101e+00
1.000000000000000000e+02,9.795456096090302545e-01,2.992578318730405726e+02,9.999987710257455253e-01,4.175449254186020198e+00,4.204010297469478630e+00,4.947001960348244021e-01,3.485684834428096068e-02,1.930738721317478035e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999491753908121e-02,2.065595669562390935e+00,0.000000000000000000e+00,2.065595564579298493e+00,2.017756953186804925e+00
1.100000000000000000e+02,9.789466731245465292e-01,2.992625483739651031e+02,9.999986511307531467e-01,4.174293260717439225e+00,4.202857489418921233e+00,4.948361683205633743e-01,3.485684832293201030e-02,1.930734439400546343e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999485629157414e-02,2.065591388827768604e+00,0.000000000000000000e+00,2.065591282579770205e+00,2.017758260644609170e+00
1.200000000000000000e+02,9.783725722415489434e-01,2.992655729861580198e+02,9.999985314059747221e-01,4.173202188302282067e+00,4.201770957615123869e+00,4.949648829067234690e-01,3.485684830222686437e-02,1.930731689379996396e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999479689106185e-02,2.065588639953941819e+00,0.000000000000000000e+00,2.065588532479114559e+00,2.017761518313043290e+00
