t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,3.962884047628078221e+00,4.291844779668727128e+00,5.470208406360186792e+00,2.222269035591419417e+00,1.885553261543071102e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999662394515321e-02,2.167780236262030513e+01,0.000000000000000000e+00,2.167780163076580635e+01,2.282695205351285495e+01
5.000000000000000000e+00,9.581624850378799296e-01,3.010697991965542428e+02,9.999993923284709041e-01,3.868110592663344782e+00,4.170516825354201096e+00,5.596349171762241781e+00,2.222268937394814792e+00,1.882502862091030238e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999220519116550e-02,2.164729919890185883e+01,0.000000000000000000e+00,2.164729751153626580e+01,2.269025109279001740e+01
1.000000000000000000e+01,9.260686820260882746e-01,3.033874737561852157e+02,9.999987934210585738e-01,3.854160000761683413e+00,4.132644833923958316e+00,5.601216675162332237e+00,2.222268781488127232e+00,1.876571657238465463e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999998518953825966e-02,2.158798846229078805e+01,0.000000000000000000e+00,2.158798526501001547e+01,2.250020269971039966e+01
1.500000000000000000e+01,9.011201085871635152e-01,3.052219396179903583e+02,9.999982045936145481e-01,3.846701020502377943e+00,4.107040306574369026e+00,5.587298404414076991e+00,2.222268568533597222e+00,1.867039805193663327e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999997560678659803e-02,2.149267171686422984e+01,0.000000000000000000e+00,2.149266647411095121e+01,2.230248484303463741e+01
2.000000000000000000e+01,8.815084083961379768e-01,3.066681715786673976e+02,9.999976253542089966e-01,3.841851959808950667e+00,4.088170423830290723e+00,5.560260534785175679e+00,2.222268308180158414e+00,1.853942974108585418e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999996389112904283e-02,2.136170554608348127e+01,0.000000000000000000e+00,2.136169783261279065e+01,2.209044921418773555e+01
2.500000000000000000e+01,8.659474030492744223e-01,3.078020422329595931e+02,9.999970552435072380e-01,3.838447204251581368e+00,4.073754621599467995e+00,5.523995080074262987e+00,2.222268015219454274e+00,1.838129575194201948e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999995070817552234e-02,2.120357392303897370e+01,0.000000000000000000e+00,2.120356347141052922e+01,2.186730372108251430e+01
3.000000000000000000e+01,8.534921619965593065e-01,3.086851116490993263e+02,9.999964937364215212e-01,3.835905423139116532e+00,4.062501082015542053e+00,5.482887775707289357e+00,2.222267705358042189e+00,1.820957162735248147e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999993676470618487e-02,2.103185225285233173e+01,0.000000000000000000e+00,2.103183895329876307e+01,2.164329525334865423e+01
3.500000000000000000e+01,8.434284113664938243e-01,3.093679536857301855e+02,9.999959401412277238e-01,3.833857735981477610e+00,4.053567931149610004e+00,5.441182557731422342e+00,2.222267392040953471e+00,1.803845291381074034e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999992266573468069e-02,2.086073597434301163e+01,0.000000000000000000e+00,2.086071984184610528e+01,2.143039717681732981e+01
4.000000000000000000e+01,8.352055233654775979e-01,3.098922812004070693e+02,9.999953936011872768e-01,3.832058223079096049e+00,4.046364179714054821e+00,5.402192429804455465e+00,2.222267084840025664e+00,1.787924938539586250e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999990884198460550e-02,2.070153479439607480e+01,0.000000000000000000e+00,2.070151592328779699e+01,2.123821076715956835e+01
4.500000000000000000e+01,8.283950035293349279e-01,3.102923268538364709e+02,9.999948531656216444e-01,3.830350443501167934e+00,4.040457832333803623e+00,5.367961510512687440e+00,2.222266789233750206e+00,1.773890759001582040e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999989553998288316e-02,2.056119523071753008e+01,0.000000000000000000e+00,2.056117375248946999e+01,2.107220775012391556e+01
5.000000000000000000e+01,8.226630522378506338e-01,3.105958723093369258e+02,9.999943178783800013e-01,3.828643728931342860e+00,4.035526638090336959e+00,5.339362752950630231e+00,2.222266507259876622e+00,1.762025191620559639e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999988285142630273e-02,2.044254166872002898e+01,0.000000000000000000e+00,2.044251772057403471e+01,2.093388831804402983e+01
5.500000000000000000e+01,8.177507274910503776e-01,3.108251527309639641e+02,9.999937868492430049e-01,3.826892435066003184e+00,4.031328193342525346e+00,5.316415190308753758e+00,2.222266238504317926e+00,1.752308361041213303e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999987075768131117e-02,2.034537536829741455e+01,0.000000000000000000e+00,2.034534907346254329e+01,2.082187947799208416e+01
6.000000000000000000e+01,8.134584827340493041e-01,3.109977165199416618e+02,9.999932592963650668e-01,3.825079066644725856e+00,4.027679827120718592e+00,5.298629300505973916e+00,2.222265981057129469e+00,1.744541088318183242e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999985917280228287e-02,2.026770456171615464e+01,0.000000000000000000e+00,2.026767601927577545e+01,2.073317975062755991e+01
6.500000000000000000e+01,8.096336372769259437e-01,3.111272390198245716e+02,9.999927345623509378e-01,3.823202039364764104e+00,4.024444070206868673e+00,5.285282119569630233e+00,2.222265732262012072e+00,1.738443655803115462e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999984797725822161e-02,2.020673209698487582e+01,0.000000000000000000e+00,2.020670137815671552e+01,2.066415104139098347e+01
7.000000000000000000e+01,8.061601419317714345e-01,3.112242637871301554e+02,9.999922121120478069e-01,3.821267666698674681e+00,4.021517739466170305e+00,5.275598603293835787e+00,2.222265489225180968e+00,1.733720985377725299e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999983704083158231e-02,2.015950721701274517e+01,0.000000000000000000e+00,2.015947436524742642e+01,2.061116100470405144e+01
7.500000000000000000e+01,8.029502911941074350e-01,3.112968493828472560e+02,9.999916915201454426e-01,3.819285365712933533e+00,4.018823605602350746e+00,5.268853152738863344e+00,2.222265249119439012e+00,1.730098953380873539e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999982623630115919e-02,2.012328870731677100e+01,0.000000000000000000e+00,2.012325374034598369e+01,2.057092773043058642e+01
8.000000000000000000e+01,7.999381087322318118e-01,3.113511128262520060e+02,9.999911724545970104e-01,3.817265038157552137e+00,4.016304013902087355e+00,5.264415664818254292e+00,2.222265009340123498e+00,1.727340596162078157e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999981544645962506e-02,2.009570695097830750e+01,0.000000000000000000e+00,2.009566986363966379e+01,2.054065964426786906e+01
