t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,4.143221008661750915e+00,4.291844779668727128e+00,2.471428721914608939e+00,1.645688630067427161e+00,6.593986839500335151e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999949359177132e+00,1.023967574774373546e+01,0.000000000000000000e+00,1.023967540204666449e+01,1.029979853173732529e+01
5.000000000000000000e+00,9.831742087493297033e-01,2.992901531363709182e+02,9.999997233579559497e-01,4.066332036159291619e+00,4.211490483459342293e+00,2.517435946991957607e+00,1.645688607840299023e+00,6.591041926925768735e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999929099760543e+00,1.023673092409019603e+01,0.000000000000000000e+00,1.023673044023241374e+01,1.029505608961017593e+01
1.000000000000000000e+01,9.697127079522859239e-01,3.002019527874441565e+02,9.999994468223643018e-01,4.046006053524045853e+00,4.187060782299520056e+00,2.529252045002325477e+00,1.645688583807689342e+00,6.587680624900197124e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999907194697446e+00,1.023336971810813090e+01,0.000000000000000000e+00,1.023336908496748343e+01,1.028313158777750402e+01
1.500000000000000000e+01,9.588524322362154129e-01,3.009307937707657175e+02,9.999991711589742982e-01,4.033702931780849710e+00,4.171439674966186395e+00,2.536081123447116781e+00,1.645688559106440518e+00,6.584109457536021281e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999884680188300e+00,1.022979864934834993e+01,0.000000000000000000e+00,1.022979786288271420e+01,1.027221624426531399e+01
2.000000000000000000e+01,9.500122883476558311e-01,3.015132758124412362e+02,9.999988963845928280e-01,4.024958844272555680e+00,4.160069542318689528e+00,2.540700509190609413e+00,1.645688534637942624e+00,6.580526633972822559e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999862377825011e+00,1.022621592335058338e+01,0.000000000000000000e+00,1.022621498511453098e+01,1.026270526497297730e+01
2.500000000000000000e+01,9.427493659862019593e-01,3.019787175177310132e+02,9.999986224108922128e-01,4.018286467020055319e+00,4.151327062379653654e+00,2.544064907477325832e+00,1.645688511032599832e+00,6.577093290087897337e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999840862204170e+00,1.022278267349083691e+01,0.000000000000000000e+00,1.022278158893676903e+01,1.025456310321035680e+01
3.000000000000000000e+01,9.367233199749988026e-01,3.023505860344791927e+02,9.999983491339533570e-01,4.012974185706303487e+00,4.144384280215546390e+00,2.546642349605544808e+00,1.645688488669828420e+00,6.573921759884807869e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999820479152701e+00,1.021961123228235202e+01,0.000000000000000000e+00,1.021961000919350582e+01,1.024767740715678777e+01
3.500000000000000000e+01,9.316707281278319153e-01,3.026476586274768010e+02,9.999980764559802671e-01,4.008614519668699749e+00,4.138740872989946418e+00,2.548702291474306492e+00,1.645688467726619475e+00,6.571076809003509211e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999801389993337e+00,1.021676636468481192e+01,0.000000000000000000e+00,1.021676501191678810e+01,1.024191670863532444e+01
4.000000000000000000e+01,9.273864927221385779e-01,3.028849560878223883e+02,9.999978042910918630e-01,4.004948477474182589e+00,4.134064880694022115e+00,2.550412865538394858e+00,1.645688448232675682e+00,6.568583963040163454e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999783621799310e+00,1.021427359619933384e+01,0.000000000000000000e+00,1.021427212276857155e+01,1.023714552423727397e+01
4.500000000000000000e+01,9.237101609927413914e-01,3.030744912475940964e+02,9.999975325661903947e-01,4.001800338748672026e+00,4.130123351313162772e+00,2.551883510476359085e+00,1.645688430120179069e+00,6.566440177067600636e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999767112756510e+00,1.021212988218797335e+01,0.000000000000000000e+00,1.021212829667145527e+01,1.023323136550030910e+01
5.000000000000000000e+01,9.205157256016921474e-01,3.032258689679440522e+02,9.999972612201352140e-01,3.999045653420942870e+00,4.126746868881550512e+00,2.553187160176019432e+00,1.645688413263457717e+00,6.564623933010850010e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999751748318566e+00,1.021031370509042979e+01,0.000000000000000000e+00,1.021031201527206633e+01,1.023004939759061216e+01
5.500000000000000000e+01,9.177039277255014671e-01,3.033467669970390261e+02,9.999969902023579937e-01,3.996593663348784631e+00,4.123809253362010097e+00,2.554373132791345924e+00,1.645688397507994560e+00,6.563103428984095267e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999737387646803e+00,1.020879326364576656e+01,0.000000000000000000e+00,1.020879147634228445e+01,1.022748555093837552e+01
6.000000000000000000e+01,9.151963889597760637e-01,3.034433212737578174e+02,9.999967194713653695e-01,3.994376802669119542e+00,4.121214963025189526e+00,2.555475126506969286e+00,1.645688382690165597e+00,6.561842550585081035e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999723881603186e+00,1.020753244410904692e+01,0.000000000000000000e+00,1.020753056511738421e+01,1.022543823466761381e+01
6.500000000000000000e+01,9.129310992203848452e-01,3.035204345742242253e+02,9.999964489933114153e-01,3.992344016600314127e+00,4.118890798293919353e+00,2.556516369248687415e+00,1.645688368649735667e+00,6.560804846682158242e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999711084137211e+00,1.020649479598957754e+01,0.000000000000000000e+00,1.020649283011074360e+01,1.022381887098533149e+01
7.000000000000000000e+01,9.108589229208126081e-01,3.035820236626270798e+02,9.999961787407163349e-01,3.990456299720792632e+00,4.116780192103686176e+00,2.557513005944709317e+00,1.645688355237083789e+00,6.559955932474357709e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999698858873742e+00,1.020564593508307993e+01,0.000000000000000000e+00,1.020564388618993767e+01,1.022255155476139699e+01
7.500000000000000000e+01,9.089408781575757379e-01,3.036312171212494491e+02,9.999959086913511319e-01,3.988683603872022587e+00,4.114839148492277054e+00,2.558476354011248066e+00,1.645688342316815822e+00,6.559264759045570159e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999687082404609e+00,1.020495481301220764e+01,0.000000000000000000e+00,1.020495268413892553e+01,1.022157214646017209e+01
8.000000000000000000e+01,9.071460080800485271e-01,3.036705136402065932e+02,9.999956388272885910e-01,3.987002633032501908e+00,4.113033280727911745e+00,2.559414417279760379e+00,1.645688329769020131e+00,6.558704123419495602e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999675645433683e+00,1.020439422727700318e+01,0.000000000000000000e+00,1.020439202071576013e+01,1.022082705718943174e+01
8.500000000000000000e+01,9.054497093565465615e-01,3.037019086233290182e+02,9.999953691341078033e-01,3.985395235447561468e+00,4.111335610001877860e+00,2.560332908567420240e+00,1.645688317489081065e+00,6.558250704871644743e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999664452606796e+00,1.020394085756803904e+01,0.000000000000000000e+00,1.020393857496420154e+01,1.022027191732972007e+01
9.000000000000000000e+01,9.038324156580480606e-01,3.037269954185755978e+02,9.999950996002328063e-01,3.983847210823013185e+00,4.109724905513443716e+00,2.561235944451975666e+00,1.645688305386678207e+00,6.557884830282518784e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999653421599355e+00,1.020357503112380648e+01,0.000000000000000000e+00,1.020357267356466302e+01,1.021987025643597491e+01
9.500000000000000000e+01,9.022785582740313615e-01,3.037470462353999778e+02,9.999948302163894631e-01,3.982347413417480109e+00,4.108184418773732638e+00,2.562126520270112895e+00,1.645688293384377276e+00,6.557590104152530408e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999642481832041e+00,1.020328035275141687e+01,0.000000000000000000e+00,1.020327792084601626e+01,1.021959227082350097e+01
1.000000000000000000e+02,9.007757439505065244e-01,3.037630768089380808e+02,9.999945609751602627e-01,3.980887070464762978e+00,4.106700910156545703e+00,2.563006837077607791e+00,1.645688281416076482e+00,6.557352989054879622e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999631573054604e+00,1.020304328528574267e+01,0.000000000000000000e+00,1.020304077923502994e+01,1.021941371805619525e+01
1.050000000000000000e+02,8.993141035563825270e-01,3.037758980647203089e+02,9.999942918706222761e-01,3.979459259911628521e+00,4.105263895192218015e+00,2.563878528391879463e+00,1.645688269425467087e+00,6.557162387480274468e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999620643943654e+00,1.020285273144031635e+01,0.000000000000000000e+00,1.020285015109766746e+01,1.021931495266518297e+01
1.100000000000000000e+02,8.978857754520094270e-01,3.037861573898948677e+02,9.999940228980537249e-01,3.978058507606057503e+00,4.103865057947433392e+00,2.564742818699560001e+00,1.645688257364587903e+00,6.557009252850356518e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999609650783938e+00,1.020269964482652725e+01,0.000000000000000000e+00,1.020269698974932204e+01,1.021928010201514070e+01
1.150000000000000000e+02,8.964844953016315454e-01,3.037943715970073413e+02,9.999937540536963931e-01,3.976680475006290294e+00,4.102497792579884006e+00,2.565600635198852064e+00,1.645688245192524546e+00,6.556886242724767833e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999598556282621e+00,1.020257668316587640e+01,0.000000000000000000e+00,1.020257395265900335e+01,1.021929637255672674e+01
1.200000000000000000e+02,8.951052701445427751e-01,3.038009532493538245e+02,9.999934853345641139e-01,3.975321716075235212e+00,4.101156843907205030e+00,2.566452687254547449e+00,1.645688232874259915e+00,6.556787418277030710e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999587328523232e+00,1.020247790777040464e+01,0.000000000000000000e+00,1.020247510092265486e+01,1.021935347251267068e+01
1.250000000000000000e+02,8.937441192556472291e-01,3.038062316827131895e+02,9.999932167382888926e-01,3.973979487415350231e+00,4.099838024887204391e+00,2.567299523382036597e+00,1.645688220379683209e+00,6.556707989004986636e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999575940059948e+00,1.020239852825708837e+01,0.000000000000000000e+00,1.020239564397141585e+01,1.021944313567442641e+01
1.300000000000000000e+02,8.923978680066013691e-01,3.038104697905916964e+02,9.999929482629965616e-01,3.972651599597644356e+00,4.098537994102071202e+00,2.568141572458951138e+00,1.645688207682739934e+00,6.556644098983334779e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999564367145322e+00,1.020233468880372563e+01,0.000000000000000000e+00,1.020233172582226899e+01,1.021955873127340020e+01
1.350000000000000000e+02,8.910639838225672404e-01,3.038138774258744661e+02,9.999926799072079708e-01,3.971336300503061523e+00,4.097254080218369232e+00,2.568979173769363467e+00,1.645688194760714040e+00,6.556592649813828722e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999552589073915e+00,1.020228329110198473e+01,0.000000000000000000e+00,1.020228024802664102e+01,1.021969494606482876e+01
1.400000000000000000e+02,8.897404455969889492e-01,3.038166221003808687e+02,9.999924116697586074e-01,3.970032183627751010e+00,4.095984143324721494e+00,2.569812599071258585e+00,1.645688181593624622e+00,6.556551155161161049e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999540587633851e+00,1.020224184889567631e+01,0.000000000000000000e+00,1.020223872420496392e+01,1.021984752633579596e+01
1.450000000000000000e+02,8.884256397141652162e-01,3.038188375267583865e+02,9.999921435497350908e-01,3.968738115910019459e+00,4.094726465283398120e+00,2.570642068917471601e+00,1.645688168163720100e+00,6.556517621981985400e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999528346644961e+00,1.020220836921176932e+01,0.000000000000000000e+00,1.020220516127456456e+01,1.022001306922809505e+01
1.500000000000000000e+02,8.871182772414289985e-01,3.038206304375867148e+02,9.999918755464237696e-01,3.967453180857317463e+00,4.093479662948909414e+00,2.571467764802700007e+00,1.645688154455058116e+00,6.556490454014700653e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999515851576426e+00,1.020218125585184055e+01,0.000000000000000000e+00,1.020217796293852608e+01,1.022018885438630065e+01
1.550000000000000000e+02,8.858173279703048797e-01,3.038220860289987968e+02,9.999916076592703096e-01,3.966176633686311348e+00,4.092242619434459883e+00,2.572289838255213734e+00,1.645688140453156256e+00,6.556468373651123116e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999503089227915e+00,1.020215923126513147e+01,0.000000000000000000e+00,1.020215585155658289e+01,1.022037270841676637e+01
1.600000000000000000e+02,8.845219678716765843e-01,3.038232723061653928e+02,9.999913398878460535e-01,3.964907865908975815e+00,4.091014429638915040e+00,2.573108417676526205e+00,1.645688126144703611e+00,6.556450358874275075e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999490047466466e+00,1.020214127348745947e+01,0.000000000000000000e+00,1.020213780508226620e+01,1.022056289594060274e+01
1.650000000000000000e+02,8.832315372327281811e-01,3.038242435521024163e+02,9.999910722318230416e-01,3.963646377355109607e+00,4.089794357052157103e+00,2.573923613510122443e+00,1.645688111517319863e+00,6.556435592474170626e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999476715008218e+00,1.020212656535797890e+01,0.000000000000000000e+00,1.020212300627816759e+01,1.022075803213606449e+01
1.700000000000000000e+02,8.819455073014880186e-01,3.038250430966217550e+02,9.999908046909519177e-01,3.962391754054943593e+00,4.088581799487088553e+00,2.574735522163532409e+00,1.645688096559359215e+00,6.556423421225444415e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999463081238105e+00,1.020211445369756120e+01,0.000000000000000000e+00,1.020211080189312192e+01,1.022095701260420775e+01
1.750000000000000000e+02,8.806634537083091185e-01,3.038257055265984263e+02,9.999905372650463864e-01,3.961143650743445654e+00,4.087376261881359163e+00,2.575544228995476193e+00,1.645688081259746527e+00,6.556413323119852699e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999449136061980e+00,1.020210441654196032e+01,0.000000000000000000e+00,1.020210066989434949e+01,1.022115895717298351e+01
1.800000000000000000e+02,8.793850352863422648e-01,3.038262584502576260e+02,9.999902699539692241e-01,3.959901777012146518e+00,4.086177334701138975e+00,2.576349810598809409e+00,1.645688065607842754e+00,6.556404881094246129e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999434869781822e+00,1.020209603687030508e+01,0.000000000000000000e+00,1.020209219319513316e+01,1.022136316489948982e+01
1.850000000000000000e+02,8.781099771935746423e-01,3.038267239054590050e+02,9.999900027576216210e-01,3.958665886341341533e+00,4.084984676785916591e+00,2.577152336551039369e+00,1.645688049593333480e+00,6.556397761985473416e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999420272996931e+00,1.020208898156045052e+01,0.000000000000000000e+00,1.020208503860946969e+01,1.022156907805817561e+01
1.900000000000000000e+02,8.768380574623826362e-01,3.038271194838035854e+02,9.999897356759354095e-01,3.957435767408073346e+00,4.083798001715326365e+00,2.577951870760930575e+00,1.645688033206136547e+00,6.556391699684381180e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999405336517322e+00,1.020208298454333828e+01,0.000000000000000000e+00,1.020207894000587245e+01,1.022177625333295303e+01
1.950000000000000000e+02,8.755690962802609167e-01,3.038274592279024091e+02,9.999894687088655143e-01,3.956211237193025809e+00,4.082617066970122721e+00,2.578748472507927936e+00,1.645688016436327450e+00,6.556386481658821097e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999390051297343e+00,1.020207783332630491e+01,0.000000000000000000e+00,1.020207368483021249e+01,1.022198433878030244e+01
2.000000000000000000e+02,8.743029474469902196e-01,3.038277543475774678e+02,9.999892018563854013e-01,3.954992135509974638e+00,4.081441665310523881e+00,2.579542197247163937e+00,1.645687999274074276e+00,6.556381938176752300e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999374408375274e+00,1.020207335821642403e+01,0.000000000000000000e+00,1.020206910332865924e+01,1.022219305541251266e+01
2.050000000000000000e+02,8.730394915662257338e-01,3.038280137915317596e+02,9.999889351184819697e-01,3.953778320660668033e+00,4.080271617914764448e+00,2.580333097235524509e+00,1.645687981709586856e+00,6.556377933691650561e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999358398827809e+00,1.020206942370614200e+01,0.000000000000000000e+00,1.020206505993300716e+01,1.022240218247815413e+01
2.100000000000000000e+02,8.717786306193053836e-01,3.038282447036530129e+02,9.999886684951528881e-01,3.952569665980393054e+00,4.079106768915287340e+00,2.581121222020477557e+00,1.645687963733072579e+00,6.556374359958345721e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999342013729198e+00,1.020206592158926284e+01,0.000000000000000000e+00,1.020206144637638879e+01,1.022261154569983077e+01
2.150000000000000000e+02,8.705202836406156219e-01,3.038284527872320950e+02,9.999884019864037077e-01,3.951366057088711692e+00,4.077946981045006858e+00,2.581906618823827326e+00,1.645687945334700197e+00,6.556371130532956393e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999325244118609e+00,1.020206276546105073e+01,0.000000000000000000e+00,1.020205817619314814e+01,1.022282100787681358e+01
2.200000000000000000e+02,8.692643832708696339e-01,3.038286425956777066e+02,9.999881355922456416e-01,3.950167389698769682e+00,4.076792132165511617e+00,2.582689332844529950e+00,1.645687926504569187e+00,6.556368176379466561e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999308080971705e+00,1.020205988632490701e+01,0.000000000000000000e+00,1.020205518032533121e+01,1.022303046137820104e+01
2.250000000000000000e+02,8.680108730100520864e-01,3.038288177645619044e+02,9.999878693126940110e-01,3.948973567869174417e+00,4.075642112496103309e+00,2.583469407499381365e+00,1.645687907232683989e+00,6.556365442360783113e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999290515177996e+00,1.020205722908354318e+01,0.000000000000000000e+00,1.020205240361370613e+01,1.022323982214717830e+01
2.300000000000000000e+02,8.667597050279820525e-01,3.038289811968356275e+02,9.999876031477670235e-01,3.947784502606752621e+00,4.074496822399973794e+00,2.584246884615661877e+00,1.645687887508931802e+00,6.556362884436534699e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999272537519968e+00,1.020205474973685966e+01,0.000000000000000000e+00,1.020204980199549460e+01,1.022344902491281005e+01
2.350000000000000000e+02,8.655108384193059834e-01,3.038291352106650152e+02,9.999873370974843301e-01,3.946600110747591206e+00,4.073356170613399385e+00,2.585021804586694394e+00,1.645687867323065268e+00,6.556360467425503380e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999254138657534e+00,1.020205241314445033e+01,0.000000000000000000e+00,1.020204734026677862e+01,1.022365801936672725e+01
2.400000000000000000e+02,8.642642378126869085e-01,3.038292816574317499e+02,9.999870711618668029e-01,3.945420314058937450e+00,4.072220072827345660e+00,2.585794206498686076e+00,1.645687846664684484e+00,6.556358163219003110e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999235309111389e+00,1.020205019123905288e+01,0.000000000000000000e+00,1.020204499029583545e+01,1.022386676711066045e+01
2.450000000000000000e+02,8.630198722622898222e-01,3.038294220159194197e+02,9.999868053409356472e-01,3.944245038516481117e+00,4.071088450549516402e+00,2.586564128235274929e+00,1.645687825523224124e+00,6.556355949354465196e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999216039251460e+00,1.020204806160018052e+01,0.000000000000000000e+00,1.020204272959669112e+01,1.022407523921978978e+01
2.500000000000000000e+02,8.617777143642595394e-01,3.038295574674914405e+02,9.999865396347117352e-01,3.943074213721009080e+00,4.069961230189671930e+00,2.587331606564612585e+00,1.645687803887942113e+00,6.556353807876606155e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999196319286687e+00,1.020204600631533864e+01,0.000000000000000000e+00,1.020204054019026430e+01,1.022428341429793441e+01
2.550000000000000000e+02,8.605377395525131146e-01,3.038296889560967884e+02,9.999862740432154951e-01,3.941907772425913503e+00,4.068838342322797175e+00,2.588096677212890828e+00,1.645687781747907197e+00,6.556351724428258976e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999176139253265e+00,1.020204401107090142e+01,0.000000000000000000e+00,1.020203840769517001e+01,1.022449127692563842e+01
2.600000000000000000e+02,8.592999255374447198e-01,3.038298172361660932e+02,9.999860085664666887e-01,3.940745650152938317e+00,4.067719721094005259e+00,2.588859374927173995e+00,1.645687759091989388e+00,6.556349687524575920e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999155489007086e+00,1.020204206442635808e+01,0.000000000000000000e+00,1.020203632060190913e+01,1.022469881642201628e+01
2.650000000000000000e+02,8.580642518585388512e-01,3.038299429108410550e+02,9.999857432044838568e-01,3.939587784878277432e+00,4.066605303736505306e+00,2.589619733529716861e+00,1.645687735908852423e+00,6.556347687973614669e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999134358214858e+00,1.020204015723492219e+01,0.000000000000000000e+00,1.020203426969342075e+01,1.022490602585712338e+01
2.700000000000000000e+02,8.568306995277606974e-01,3.038300664624892420e+02,9.999854779572846519e-01,3.938434116774790716e+00,4.065495030179797631e+00,2.590377785965616741e+00,1.645687712186944207e+00,6.556345718413806090e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999112736347673e+00,1.020203828218104469e+01,0.000000000000000000e+00,1.020203224758254734e+01,1.022511290126444372e+01
2.750000000000000000e+02,8.555992507452970797e-01,3.038301882770604720e+02,9.999852128248851724e-01,3.937284587999084096e+00,4.064388842729953488e+00,2.591133564345017959e+00,1.645687687914490827e+00,6.556343772944712711e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999090612673669e+00,1.020203643341119282e+01,0.000000000000000000e+00,1.020203024834276917e+01,1.022531944101307211e+01
2.800000000000000000e+02,8.543698886729569342e-01,3.038303086635281147e+02,9.999849478073006281e-01,3.936139142514501810e+00,4.063286685807546483e+00,2.591887099980956677e+00,1.645687663079487661e+00,6.556341846832285825e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999067976250933e+00,1.020203460623913472e+01,0.000000000000000000e+00,1.020202826721344103e+01,1.022552564530747432e+01
