t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,4.193402413228032088e+00,4.291844779668727128e+00,1.636974289014345718e+00,8.365643745379288676e-01,5.927927562783130710e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.864492165694024983e+00,0.000000000000000000e+00,6.864491933945004121e+00,6.819705023536350552e+00
5.000000000000000000e+00,1.000000000000000000e+00,2.939253932124036623e+02,9.999998125730323872e-01,4.175801865766908705e+00,4.291844779668727128e+00,1.644873161484081692e+00,8.365643745379288676e-01,5.932100045513272413e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.868664648565032671e+00,0.000000000000000000e+00,6.868664416675145823e+00,6.853480583765589884e+00
1.000000000000000000e+01,1.000000000000000000e+00,2.905460356936151811e+02,9.999996256375808246e-01,4.158999249537876253e+00,4.291844779668727128e+00,1.651724173536307516e+00,8.365643745379288676e-01,5.932955227019196087e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869519830099827473e+00,0.000000000000000000e+00,6.869519598181069497e+00,6.882858408660204041e+00
1.500000000000000000e+01,1.000000000000000000e+00,2.878431639779208240e+02,9.999994389757971280e-01,4.143428756829324655e+00,4.291844779668727128e+00,1.657986939043966768e+00,8.365643745379288676e-01,5.933186390520328146e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869750993608763956e+00,0.000000000000000000e+00,6.869750761682201556e+00,6.909730291213081799e+00
2.000000000000000000e+01,1.000000000000000000e+00,2.856817023832700784e+02,9.999992524122918169e-01,4.129375173796837828e+00,4.291844779668727128e+00,1.663648457159561111e+00,8.365643745379288676e-01,5.933264265758237066e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869828868849301884e+00,0.000000000000000000e+00,6.869828636920110476e+00,6.934026311927912190e+00
2.500000000000000000e+01,1.000000000000000000e+00,2.839534720348648875e+02,9.999990658298805180e-01,4.116970004201782274e+00,4.291844779668727128e+00,1.668668920548980195e+00,8.365643745379288676e-01,5.933295521682047990e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869860124774167964e+00,0.000000000000000000e+00,6.869859892843921401e+00,6.955572423840615137e+00
3.000000000000000000e+01,1.000000000000000000e+00,2.825718383345193274e+02,9.999988791594337512e-01,4.106221092351618474e+00,4.291844779668727128e+00,1.673040530289431560e+00,8.365643745379288676e-01,5.933309942671730397e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869874545764337093e+00,0.000000000000000000e+00,6.869874313833603807e+00,6.974334261654701272e+00
3.500000000000000000e+01,1.000000000000000000e+00,2.814674342311406576e+02,9.999986923575268083e-01,4.097048926992804319e+00,4.291844779668727128e+00,1.676787822405263917e+00,8.365643745379288676e-01,5.933317377418212857e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869881980511070907e+00,0.000000000000000000e+00,6.869881748580086267e+00,6.990416834717776418e+00
4.000000000000000000e+01,1.000000000000000000e+00,2.805847325668783583e+02,9.999985052300126576e-01,4.089320095668949051e+00,4.291844779668727128e+00,1.679957982100875435e+00,8.365643745379288676e-01,5.933321564922692914e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869886168015692185e+00,0.000000000000000000e+00,6.869885936084566325e+00,7.004022542433105514e+00
4.500000000000000000e+01,1.000000000000000000e+00,2.798792965670270405e+02,9.999983177842769466e-01,4.082874119901916288e+00,4.291844779668727128e+00,1.682610892532607760e+00,8.365643745379288676e-01,5.933324095824574762e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869888698917659298e+00,0.000000000000000000e+00,6.869888466986448172e+00,7.015408346293489750e+00
