t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,3.962884047628078221e+00,4.291844779668727128e+00,5.470208406360186792e+00,2.222269035591419417e+00,1.885553261543071102e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999662394515321e-02,2.167780236262030513e+01,0.000000000000000000e+00,2.167780163076580635e+01,2.282695205351285495e+01
5.000000000000000000e+00,9.581617817457704911e-01,3.010698332826395358e+02,9.999993922768077859e-01,3.847200879428192444e+00,4.169923396018912598e+00,5.597279979765608537e+00,2.222268937392378074e+00,1.882502805329085760e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999220508151709e-02,2.164729863130300913e+01,0.000000000000000000e+00,2.164729694391372661e+01,2.269081147014307120e+01
1.000000000000000000e+01,9.260663448216094329e-01,3.033875856833855096e+02,9.999987932292043746e-01,3.817267573467829411e+00,4.131567373222818418e+00,5.602902144483739022e+00,2.222268781472742205e+00,1.876571240395913520e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999998518884595233e-02,2.158798429399456609e+01,0.000000000000000000e+00,2.158798109656495257e+01,2.250113136411894033e+01
1.500000000000000000e+01,9.011156832775224501e-01,3.052221465763774404e+02,9.999982041938036970e-01,3.797699075512958267e+00,4.105571498498803429e+00,5.589580733531982482e+00,2.222268568485617379e+00,1.867038355266160110e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999997560462754731e-02,2.149265721798876427e+01,0.000000000000000000e+00,2.149265197477498646e+01,2.230364887482104663e+01
2.000000000000000000e+01,8.815017000708561534e-01,3.066684749543451858e+02,9.999976246952136938e-01,3.783736929561907658e+00,4.086387853828059136e+00,5.563004967472090279e+00,2.222268308072491205e+00,1.853939497407534631e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999996388628412669e-02,2.136167077995863650e+01,0.000000000000000000e+00,2.136166306546554239e+01,2.209175352095743605e+01
2.500000000000000000e+01,8.659383635577785343e-01,3.078024341615612229e+02,9.999970542873487522e-01,3.773534747032122549e+00,4.071722711873182021e+00,5.527089031636345240e+00,2.222268015021399812e+00,1.838123009048211287e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999995069926326252e-02,2.120350826318488302e+01,0.000000000000000000e+00,2.120349780969909403e+01,2.186867914624910725e+01
3.000000000000000000e+01,8.534808241200937395e-01,3.086855794269272337e+02,9.999964924555776458e-01,3.765979065733939812e+00,4.060272826845130467e+00,5.486240449884475900e+00,2.222267705039353558e+00,1.820946686034202600e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999993675036550345e-02,2.103174748838699060e+01,0.000000000000000000e+00,2.103173418588357535e+01,2.164469389805633170e+01
3.500000000000000000e+01,8.434148463443207344e-01,3.093684829111910517e+02,9.999959385161839576e-01,3.760280740029708024e+00,4.051186428083972224e+00,5.444723715269142339e+00,2.222267391574641149e+00,1.803830519941366006e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999992264475106307e-02,2.086058826361679053e+01,0.000000000000000000e+00,2.086057212685680895e+01,2.143178930881676791e+01
4.000000000000000000e+01,8.351898132967700006e-01,3.098928579149318239e+02,9.999953916183506042e-01,3.755860653390052040e+00,4.043864027902339231e+00,5.405869821372321304e+00,2.222267084203425558e+00,1.787905938891524116e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999990881333820081e-02,2.070134480286397149e+01,0.000000000000000000e+00,2.070132592599869881e+01,2.123958104294973026e+01
4.500000000000000000e+01,8.283772250582935870e-01,3.102929387984548271e+02,9.999948508156398796e-01,3.752299564980822844e+00,4.037866443638014502e+00,5.371737451119479978e+00,2.222266788408193694e+00,1.773867931271769294e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999989550283361339e-02,2.056096695977074873e+01,0.000000000000000000e+00,2.056094547414289053e+01,2.107355087474367750e+01
5.000000000000000000e+01,8.226432687323040893e-01,3.105965094614811051e+02,9.999943151548676967e-01,3.749302102282843219e+00,4.032865461730077428e+00,5.343210605439887573e+00,2.222266506229606975e+00,1.761999111699332943e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999988280506512395e-02,2.044228087737108979e+01,0.000000000000000000e+00,2.044225692005332817e+01,2.093520503642501041e+01
5.500000000000000000e+01,8.177289869233564934e-01,3.108258073419255538e+02,9.999937837478629632e-01,3.746665800370956312e+00,4.028613829813933123e+00,5.320316308494608570e+00,2.222266237255224652e+00,1.752279646852393213e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999987070147331458e-02,2.034508823588734217e+01,0.000000000000000000e+00,2.034506192998799889e+01,2.082317351820870499e+01
