t_s,soc_p5,soc_p50,soc_p95
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,9.829351071531909900e-01,9.831742317921727814e-01,9.833715376065829128e-01
1.000000000000000000e+01,9.688154878496525457e-01,9.696861473375595342e-01,9.703267873411174360e-01
1.500000000000000000e+01,9.571121313995106794e-01,9.588093706625632207e-01,9.599665487488633353e-01
2.000000000000000000e+01,9.473543693568793334e-01,9.499537992934166120e-01,9.516617774846879430e-01
2.500000000000000000e+01,9.391512969097308705e-01,9.426752424436211086e-01,9.449354255207239595e-01
3.000000000000000000e+01,9.322061313758570611e-01,9.366346627439486872e-01,9.394190648412955591e-01
3.500000000000000000e+01,9.262823561870953126e-01,9.315688710880968282e-01,9.348363634784653264e-01
4.000000000000000000e+01,9.211903602979206740e-01,9.272728619976087217e-01,9.309761645050179668e-01
4.500000000000000000e+01,9.167773780951981033e-01,9.235861836799035274e-01,9.276763641595732190e-01
5.000000000000000000e+01,9.129104610165301725e-01,9.203827724330642113e-01,9.248120631637793965e-01
5.500000000000000000e+01,9.094933102441666861e-01,9.175632790413048578e-01,9.222867538149600586e-01
6.000000000000000000e+01,9.064509235304458734e-01,9.150492166264041494e-01,9.200257001353356889e-01
6.500000000000000000e+01,9.037167765460586422e-01,9.127784593341359276e-01,9.179709254824394149e-01
7.000000000000000000e+01,9.012364377398810467e-01,9.107017556547937209e-01,9.160773929224381718e-01
7.500000000000000000e+01,8.989653033111726366e-01,9.087800121788773833e-01,9.143100796715037948e-01
8.000000000000000000e+01,8.968667778898095078e-01,9.069821677265506032e-01,9.126417272747906484e-01
8.500000000000000000e+01,8.949108063732713614e-01,9.052835233106076851e-01,9.110511059290579139e-01
9.000000000000000000e+01,8.930726845435712491e-01,9.036644262495872049e-01,9.095216720954210077e-01
9.500000000000000000e+01,8.913320924411877177e-01,9.021092308307411267e-01,9.080405282402949085e-01
1.000000000000000000e+02,8.896723067027845211e-01,9.006054758179045105e-01,9.065976154585291269e-01
1.050000000000000000e+02,8.880795573349630212e-01,8.991432325566830475e-01,9.051850860834801393e-01
1.100000000000000000e+02,8.865425015002341702e-01,8.977145876539721625e-01,9.037968156962450372e-01
1.150000000000000000e+02,8.850517923966870759e-01,8.963132320451098201e-01,9.024280232781333178e-01
1.200000000000000000e+02,8.835997256199703553e-01,8.949341343118999426e-01,9.010749753680137308e-01
1.250000000000000000e+02,8.821799487937768136e-01,8.935732808139338346e-01,8.997347555409328512e-01
1.300000000000000000e+02,8.807872229544246867e-01,8.922274688639937335e-01,8.984050847206245249e-01
1.350000000000000000e+02,8.794172263328197126e-01,8.908941420536298228e-01,8.970841810766602142e-01
1.400000000000000000e+02,8.780663929108313281e-01,8.895712590964166555e-01,8.957706507616185476e-01
1.450000000000000000e+02,8.767317795282667525e-01,8.882571893396413731e-01,8.944634026847719799e-01
1.500000000000000000e+02,8.754109564499131801e-01,8.869506295045759270e-01,8.931615820254087401e-01
1.550000000000000000e+02,8.741019172229217427e-01,8.856505373313361407e-01,8.918645183596718429e-01
1.600000000000000000e+02,8.728030044048737945e-01,8.843560786890329872e-01,8.905716851854406091e-01
1.650000000000000000e+02,8.715128483551716210e-01,8.830665854142282223e-01,8.892826683386312325e-01
1.700000000000000000e+02,8.702303167831361153e-01,8.817815216986134574e-01,8.879971413463241259e-01
1.750000000000000000e+02,8.689544731562994784e-01,8.805004572904975291e-01,8.867148461923474168e-01
1.800000000000000000e+02,8.676845424087004099e-01,8.792230461276189235e-01,8.854355783061962359e-01
1.850000000000000000e+02,8.664198826650173491e-01,8.779490092997210837e-01,8.841591748476419488e-01
1.900000000000000000e+02,8.651599619231974403e-01,8.766781214630143815e-01,8.828855055632367499e-01
1.950000000000000000e+02,8.639043388246749888e-01,8.754102000068251233e-01,8.816144656499754761e-01
2.000000000000000000e+02,8.626526467946749044e-01,8.741450964146619818e-01,8.803459701854121633e-01
2.050000000000000000e+02,8.614045809613249949e-01,8.728826893750523119e-01,8.790799497803322149e-01
2.100000000000000000e+02,8.601598873662331668e-01,8.716228792876485887e-01,8.778163471855852107e-01
2.150000000000000000e+02,8.589183540648039905e-01,8.703655838819428503e-01,8.765551146436486585e-01
2.200000000000000000e+02,8.576798037850782430e-01,8.691107347232225333e-01,8.752962118214245857e-01
2.250000000000000000e+02,8.564440878720089856e-01,8.678582744260661119e-01,8.740396041967151142e-01
2.300000000000000000e+02,8.552110812919699878e-01,8.666081544320607399e-01,8.727852617987823525e-01
2.350000000000000000e+02,8.539806785117981525e-01,8.653603332374977253e-01,8.715331582252854314e-01
2.400000000000000000e+02,8.527527900991918042e-01,8.641147749798920863e-01,8.702832698749412010e-01
2.450000000000000000e+02,8.515273399181592096e-01,8.628714483106852962e-01,8.690355753485494716e-01
2.500000000000000000e+02,8.503042628153164584e-01,8.616303254961530378e-01,8.677900549814437925e-01
2.550000000000000000e+02,8.490835027111024447e-01,8.603913817003352449e-01,8.665466904785126268e-01
2.600000000000000000e+02,8.478650110250194327e-01,8.591545944130986046e-01,8.653054646292966945e-01
2.650000000000000000e+02,8.466487453764292015e-01,8.579199429939747823e-01,8.640663610855674470e-01
2.700000000000000000e+02,8.454346685126630234e-01,8.566874083083031444e-01,8.628293641876876308e-01
2.750000000000000000e+02,8.442227474246702945e-01,8.554569724370066908e-01,8.615944588290438411e-01
2.800000000000000000e+02,8.430129526173660848e-01,8.542286184450811337e-01,8.603616303501936402e-01
2.850000000000000000e+02,8.418052575076092614e-01,8.530023301969127392e-01,8.591308644562065666e-01
2.900000000000000000e+02,8.405996379274783825e-01,8.517780922089392970e-01,8.579021471521034448e-01
2.950000000000000000e+02,8.393960717144062222e-01,8.505558895320981527e-01,8.566754646924311656e-01
3.000000000000000000e+02,8.381945383729794141e-01,8.493357076580203557e-01,8.554508035418562084e-01
3.050000000000000000e+02,8.369950187958630217e-01,8.481175324441747598e-01,8.542281503443708290e-01
3.100000000000000000e+02,8.357974950334960962e-01,8.469013500541098249e-01,8.530074918992061050e-01
3.150000000000000000e+02,8.346019501040329303e-01,8.456871469097509975e-01,8.517888151419988896e-01
3.200000000000000000e+02,8.334083678364765380e-01,8.444749096532968569e-01,8.505721071300323954e-01
3.250000000000000000e+02,8.322167327412058890e-01,8.432646251167867923e-01,8.493573550306804387e-01
3.300000000000000000e+02,8.310270299031043972e-01,8.420562802977679118e-01,8.481445461123361396e-01
3.350000000000000000e+02,8.298392448933182841e-01,8.408498623398399374e-01,8.469336677372810707e-01
3.400000000000000000e+02,8.286507408260606056e-01,8.396453585170855494e-01,8.457247073560710815e-01
3.450000000000000000e+02,8.274639092164376430e-01,8.384427562215943652e-01,8.445176525031055093e-01
3.500000000000000000e+02,8.262789561747905243e-01,8.372420429534621622e-01,8.433124907931123238e-01
3.550000000000000000e+02,8.250958686288494270e-01,8.360432063127543056e-01,8.421092099183561386e-01
3.600000000000000000e+02,8.239146337274418919e-01,8.348462339930419196e-01,8.409077976464035542e-01
3.650000000000000000e+02,8.227352388136640604e-01,8.336511137761936086e-01,8.397082418183263730e-01
3.700000000000000000e+02,8.215576714027134075e-01,8.324578335281548336e-01,8.385105303472366600e-01
3.750000000000000000e+02,8.203819191635487451e-01,8.312663811955350868e-01,8.373146512171009137e-01
3.800000000000000000e+02,8.192079699037159157e-01,8.300767448028181228e-01,8.361205924817420865e-01
3.850000000000000000e+02,8.180358115567790689e-01,8.288889124500876671e-01,8.349283422640167984e-01
3.900000000000000000e+02,8.168654321719055478e-01,8.277028723111445885e-01,8.337378887551052387e-01
3.950000000000000000e+02,8.156968199052141433e-01,8.265186126319539195e-01,8.325492202139030962e-01
4.000000000000000000e+02,8.145299630125927282e-01,8.253361217293425645e-01,8.313623249664865433e-01
4.050000000000000000e+02,8.133648498437120455e-01,8.241553879899032875e-01,8.301771914056363944e-01
4.100000000000000000e+02,8.122014688370384761e-01,8.229763998690582394e-01,8.289938079904018986e-01
4.150000000000000000e+02,8.110398085156620418e-01,8.217991458902513813e-01,8.278121632457068335e-01
4.200000000000000000e+02,8.098798574837964281e-01,8.206236146442473789e-01,8.266322457619721398e-01
4.250000000000000000e+02,8.087216044238417778e-01,8.194497947885075462e-01,8.254540441947678664e-01
4.300000000000000000e+02,8.075650380939025652e-01,8.182776750466302929e-01,8.242775472644758850e-01
4.350000000000000000e+02,8.064101473256831687e-01,8.171072442078515241e-01,8.231027437559613746e-01
4.400000000000000000e+02,8.052569210226945273e-01,8.159384911265757934e-01,8.219296225182607385e-01
4.450000000000000000e+02,8.041053481587211449e-01,8.147714047219423161e-01,8.207582823566720309e-01
4.500000000000000000e+02,8.029554177764992584e-01,8.136059739774255117e-01,8.195894470508396923e-01
4.550000000000000000e+02,8.018071189865672022e-01,8.124421879404430946e-01,8.184222604158903902e-01
4.600000000000000000e+02,8.006604409662635424e-01,8.112800357219887015e-01,8.172567115611302224e-01
4.650000000000000000e+02,7.995153729588415636e-01,8.101195064962783965e-01,8.160927896584990737e-01
4.700000000000000000e+02,7.983719042726866721e-01,8.089605895004013947e-01,8.149304839422802926e-01
4.750000000000000000e+02,7.972300242806061865e-01,8.078032740339828877e-01,8.137697837088048169e-01
4.800000000000000000e+02,7.960897224191962884e-01,8.066475494588547512e-01,8.126106783161541891e-01
4.850000000000000000e+02,7.949509881882584894e-01,8.054934051987270305e-01,8.114531571838676793e-01
4.900000000000000000e+02,7.938138111502622829e-01,8.043408307388669742e-01,8.102972097926496309e-01
4.950000000000000000e+02,7.926781809298464321e-01,8.031898156257819554e-01,8.091428256840732525e-01
5.000000000000000000e+02,7.915440872133531203e-01,8.020403494669011701e-01,8.079899944602875195e-01
5.050000000000000000e+02,7.904115197483857491e-01,8.008924219302615555e-01,8.068387057837248522e-01
5.100000000000000000e+02,7.892804683433893853e-01,7.997460227442019232e-01,8.056889493768037980e-01
5.150000000000000000e+02,7.881509228672485268e-01,7.986011416970421051e-01,8.045407150216374870e-01
5.200000000000000000e+02,7.870228732489006340e-01,7.974577686367847473e-01,8.033939925597401999e-01
5.250000000000000000e+02,7.858963094769638724e-01,7.963158934707982306e-01,8.022487718917294952e-01
5.300000000000000000e+02,7.847712215993689622e-01,7.951755061655169099e-01,8.011050429770357750e-01
5.350000000000000000e+02,7.836475997230092361e-01,7.940365967461315844e-01,7.999627958336065214e-01
5.400000000000000000e+02,7.825254340133891429e-01,7.928991552962816325e-01,7.988220205376127536e-01
5.450000000000000000e+02,7.814047146942854072e-01,7.917631719577554739e-01,7.976827072231541527e-01
5.500000000000000000e+02,7.802854320474097438e-01,7.906286369301822603e-01,7.965448460819680720e-01
5.550000000000000000e+02,7.791675764120779002e-01,7.894955404707333368e-01,7.954084273631321089e-01
5.600000000000000000e+02,7.780511381848850272e-01,7.883638728938164864e-01,7.942734413727742249e-01
5.650000000000000000e+02,7.769361078193768311e-01,7.872336245707736158e-01,7.931398784737783147e-01
5.700000000000000000e+02,7.758224758257331599e-01,7.861047859295835494e-01,7.920077290854927732e-01
5.750000000000000000e+02,7.747102327704488145e-01,7.849773474545570506e-01,7.908769836834353972e-01
5.800000000000000000e+02,7.735993692760173568e-01,7.838512996860416138e-01,7.897476327990061717e-01
5.850000000000000000e+02,7.724898760206191373e-01,7.827266332201198162e-01,7.886196670191921720e-01
5.900000000000000000e+02,7.713817437378086561e-01,7.816033387083114459e-01,7.874930769862786839e-01
5.950000000000000000e+02,7.702749632162053661e-01,7.804814068572778485e-01,7.863678533975579921e-01
6.000000000000000000e+02,7.691695252991886944e-01,7.793608284285250543e-01,7.852439870050398341e-01
6.050000000000000000e+02,7.680654208845859587e-01,7.782415942381082363e-01,7.841214686151640745e-01
6.100000000000000000e+02,7.669626409243767151e-01,7.771236951563360584e-01,7.830002890885101596e-01
6.150000000000000000e+02,7.658611764243824505e-01,7.760071221074780201e-01,7.818804393395103469e-01
6.200000000000000000e+02,7.647610184439682657e-01,7.748918660694701366e-01,7.807619103361612689e-01
6.250000000000000000e+02,7.636621580957440036e-01,7.737779180736248374e-01,7.796446930997408264e-01
6.300000000000000000e+02,7.625645865452627126e-01,7.726652692043387560e-01,7.785287787045173102e-01
6.350000000000000000e+02,7.614682950107263260e-01,7.715539105988040713e-01,7.774141582774719561e-01
6.400000000000000000e+02,7.603732747626875677e-01,7.704438334467167415e-01,7.763008229980082886e-01
