t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,4.262692223199244346e+00,4.291844779668727128e+00,4.847708067677493071e-01,3.485684893908036486e-02,1.931571902479896519e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428748042922425e+00,2.018568261591545454e+00
1.000000000000000000e+01,9.939636397602048534e-01,2.985523746490190433e+02,9.999998673019538931e-01,4.212342046784083749e+00,4.244502866025629650e+00,4.901389979420000542e-01,3.485684878807859821e-02,1.931305801748725681e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999619073972335e-02,2.066162725433060121e+00,0.000000000000000000e+00,2.066162646727543795e+00,2.018411578458260802e+00
2.000000000000000000e+01,9.899192406944166134e-01,2.988103291464771587e+02,9.999997425645674731e-01,4.195215778771803627e+00,4.229014438212497673e+00,4.918807281716436330e-01,3.485684867621322014e-02,1.931114450725225140e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999586981174471e-02,2.065971380599757712e+00,0.000000000000000000e+00,2.065971295271250341e+00,2.018191645226884656e+00
3.000000000000000000e+01,9.871393813671677231e-01,2.989756865319689609e+02,9.999996201341690982e-01,4.186284626121953067e+00,4.221006807990723253e+00,4.927743470294644879e-01,3.485684859390571211e-02,1.930982404814391984e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999563368167088e-02,2.065839339243101147e+00,0.000000000000000000e+00,2.065839249041979464e+00,2.018028783638389889e+00
4.000000000000000000e+01,9.851651006846765535e-01,2.990816839275749999e+02,9.999994988854784550e-01,4.180802847993835947e+00,4.216050299378555799e+00,4.933270802020887635e-01,3.485684853260792582e-02,1.930893661387684812e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999545782589649e-02,2.065750599208107552e+00,0.000000000000000000e+00,2.065750505378118884e+00,2.017919360031314557e+00
5.000000000000000000e+01,9.837055450040115279e-01,2.991496299759658655e+02,9.999993783523911661e-01,4.177122539549129598e+00,4.212670545619111806e+00,4.937057449434507084e-01,3.485684848570966970e-02,1.930835023276041174e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999532328059104e-02,2.065691963691648425e+00,0.000000000000000000e+00,2.065691867085031497e+00,2.017848987622078649e+00
6.000000000000000000e+01,9.825756937951102277e-01,2.991931846591198223e+02,9.999992582984746914e-01,4.174468619912612866e+00,4.210190130308025580e+00,4.939859744485445292e-01,3.485684844845363117e-02,1.930796696599317963e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999521639760247e-02,2.065653639076826309e+00,0.000000000000000000e+00,2.065653540264169141e+00,2.017805363774185956e+00
7.000000000000000000e+01,9.816575498229894725e-01,2.992211043988212396e+02,9.999991385918575171e-01,4.172427160371114496e+00,4.208250355576582002e+00,4.942073603884327149e-01,3.485684841755228025e-02,1.930771819505728848e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999512774543353e-02,2.065628763693718284e+00,0.000000000000000000e+00,2.065628663051026326e+00,2.017779537815068469e+00
8.000000000000000000e+01,9.808757332358014613e-01,2.992390021695793507e+02,9.999990191547586393e-01,4.170762507216282167e+00,4.206646822177162015e+00,4.943922628653404372e-01,3.485684839078816849e-02,1.930755743825541604e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999505096252017e-02,2.065612689495238907e+00,0.000000000000000000e+00,2.065612587267292355e+00,2.017765363034545345e+00
9.000000000000000000e+01,9.801820348600519539e-01,2.992504759057094930e+02,9.999988999394343603e-01,4.169335575141361439e+00,4.205258117736828005e+00,4.945538757954738851e-01,3.485684836668768993e-02,1.930745384842836643e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999498182121638e-02,2.065602331846963402e+00,0.000000000000000000e+00,2.065602228191345535e+00,2.017758734547336008e+00
1.000000000000000000e+02,9.795455980225572512e-01,2.992578318733629317e+02,9.999987809155517215e-01,4.168062418133203550e+00,4.204010274970755745e+00,4.947001986857093025e-01,3.485684834428055129e-02,1.930738721317163176e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999491753791547e-02,2.065595669562098724e+00,0.000000000000000000e+00,2.065595564578981858e+00,2.017756953201049086e+00
1.100000000000000000e+02,9.789466605305873204e-01,2.992625483741742300e+02,9.999986620631575729e-01,4.166891583961358947e+00,4.202857465389262970e+00,4.948361711521974127e-01,3.485684832293155233e-02,1.930734439400330960e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999485629026963e-02,2.065591388827578090e+00,0.000000000000000000e+00,2.065591282579552601e+00,2.017758260654839653e+00
1.200000000000000000e+02,9.783725586522810103e-01,2.992655729862937051e+02,9.999985433686140457e-01,4.165791153298883387e+00,4.201770932102603773e+00,4.949648859134995749e-01,3.485684830222636477e-02,1.930731689379845850e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999479688964632e-02,2.065588639953818362e+00,0.000000000000000000e+00,2.065588532478961792e+00,2.017761518319052705e+00
1.300000000000000000e+02,9.778151725067325550e-01,2.992675130974268427e+02,9.999984248221912564e-01,4.164741104189470633e+00,4.200732427208420994e+00,4.950883032042708298e-01,3.485684828189530154e-02,1.930729923484191035e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999473856231724e-02,2.065586875184215021e+00,0.000000000000000000e+00,2.065586766504648786e+00,2.017765992025820410e+00
1.400000000000000000e+02,9.772692917047104411e-01,2.992687580362651829e+02,9.999983064166170221e-01,4.163728729146834340e+00,4.199730235920892341e+00,4.952076813354439611e-01,3.485684826176300988e-02,1.930728789314527738e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999468080525422e-02,2.065585742129624425e+00,0.000000000000000000e+00,2.065585632257096016e+00,2.017771209973381996e+00
1.500000000000000000e+02,9.767315692321748566e-01,2.992695573580504060e+02,9.999981881461937894e-01,4.162745850165420869e+00,4.198756734398354062e+00,4.953238400922982398e-01,3.485684824171553925e-02,1.930728060458823503e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999462329155209e-02,2.065585014384314633e+00,0.000000000000000000e+00,2.065584903323830712e+00,2.017776869924543970e+00
1.600000000000000000e+02,9.761998516471642739e-01,2.992700710249502549e+02,9.999980700062541805e-01,4.161787111747687007e+00,4.197806875949069649e+00,4.954373234778224333e-01,3.485684822167881003e-02,1.930727591572008572e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999456580864476e-02,2.065584546607313055e+00,0.000000000000000000e+00,2.065584434359496235e+00,2.017782778946601852e+00
1.700000000000000000e+02,9.756727501356331489e-01,2.992704015711478860e+02,9.999979519928224869e-01,4.160848928117780510e+00,4.196877246818444540e+00,4.955485009567111576e-01,3.485684820160460384e-02,1.930727289399846613e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999450821822622e-02,2.065584245547048781e+00,0.000000000000000000e+00,2.065584132109669291e+00,2.017788814431195288e+00
1.800000000000000000e+02,9.751493657790609726e-01,2.992706147202736133e+02,9.999978341024030604e-01,4.159928830732314786e+00,4.195965474535832129e+00,4.956576307585463526e-01,3.485684818146146668e-02,1.930727094130261001e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999445043004920e-02,2.065584051393184684e+00,0.000000000000000000e+00,2.065583936762152906e+00,2.017794898942323112e+00
1.900000000000000000e+02,9.746291135779402426e-01,2.992707526009068602e+02,9.999977163318459761e-01,4.159025062195183864e+00,4.195069855795183322e+00,4.957648996202732583e-01,3.485684816122882473e-02,1.930726967408791683e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999439238509147e-02,2.065583925792398023e+00,0.000000000000000000e+00,2.065583809962405759e+00,2.017800984014566978e+00
2.000000000000000000e+02,9.741116097261610651e-01,2.992708422175265923e+02,9.999975986782597692e-01,4.158136322528341644e+00,4.194189121610208737e+00,4.958704478305991370e-01,3.485684814089311245e-02,1.930726884643921393e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999433404445359e-02,2.065583844153921600e+00,0.000000000000000000e+00,2.065583727118859070e+00,2.017807039729522689e+00
2.100000000000000000e+02,9.735965993996359424e-01,2.992709008802666517e+02,9.999974811389554796e-01,4.157261609985430262e+00,4.193322288575954460e+00,4.959743850733538961e-01,3.485684812044535785e-02,1.930726830069662503e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999427538236452e-02,2.065583790712264278e+00,0.000000000000000000e+00,2.065583672465490128e+00,2.017813048016267263e+00
2.200000000000000000e+02,9.730839104970088194e-01,2.992709396853070984e+02,9.999973637114086822e-01,4.156400120713874990e+00,4.192468564278216014e+00,4.960768004953598487e-01,3.485684809987949634e-02,1.930726793578590117e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999421638144925e-02,2.065583755360336671e+00,0.000000000000000000e+00,2.065583635894851167e+00,2.017818998349200310e+00
2.300000000000000000e+02,9.725734240050153412e-01,2.992709657457508001e+02,9.999972463932336186e-01,4.155551185152268623e+00,4.191627286831342225e+00,4.961777691396831447e-01,3.485684807919137845e-02,1.930726768690980144e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999415702980066e-02,2.065583731618643615e+00,0.000000000000000000e+00,2.065583610927201441e+00,2.017824884987885259e+00
2.400000000000000000e+02,9.720650550136229473e-01,2.992709836215813084e+02,9.999971291821643238e-01,4.154714227424851636e+00,4.190797885975428017e+00,4.962773560861355460e-01,3.485684805837810374e-02,1.930726751252692885e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999409731907818e-02,2.065583715333206172e+00,0.000000000000000000e+00,2.065583593408390151e+00,2.017830705208069730e+00
2.500000000000000000e+02,9.715587405535417442e-01,2.992709962362442297e+02,9.999970120760414138e-01,4.153888739177215683e+00,4.189979857827117016e+00,4.963756191414054886e-01,3.485684803743754195e-02,1.930726738600380576e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999403724318947e-02,2.065583703840794705e+00,0.000000000000000000e+00,2.065583580675061537e+00,2.017836458169460556e+00
2.600000000000000000e+02,9.710544318042526601e-01,2.992710054641615898e+02,9.999968950728017614e-01,4.153074262512618020e+00,4.189172748302978810e+00,4.964726106087589685e-01,3.485684801636806246e-02,1.930726729026342570e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999397679745772e-02,2.065583695433797828e+00,0.000000000000000000e+00,2.065583571019507847e+00,2.017842144192332654e+00
2.700000000000000000e+02,9.705520891018437624e-01,2.992710125073206768e+02,9.999967781704702796e-01,4.152270378687844321e+00,4.188376142072106845e+00,4.965683784712531801e-01,3.485684799516839544e-02,1.930726721435475968e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999391597821918e-02,2.065583689017184366e+00,0.000000000000000000e+00,2.065583563346622853e+00,2.017847764296476498e+00
2.800000000000000000e+02,9.700516787404402930e-01,2.992710181366629172e+02,9.999966613671528171e-01,4.151476700473733850e+00,4.187589655050897086e+00,4.966629671992391359e-01,3.485684797383744454e-02,1.930726715125372639e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999385478236524e-02,2.065583683888605471e+00,0.000000000000000000e+00,2.065583556953992428e+00,2.017853319908361698e+00
2.900000000000000000e+02,9.695531709226304917e-01,2.992710228468112064e+02,9.999965446610311615e-01,4.150692866863457731e+00,4.186812929181421339e+00,4.967564183155729896e-01,3.485684795237426609e-02,1.930726709645363526e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999379320714810e-02,2.065583679597445155e+00,0.000000000000000000e+00,2.065583551390945072e+00,2.017858812676070368e+00
3.000000000000000000e+02,9.690565384459260967e-01,2.992710269552494537e+02,9.999964280503574887e-01,4.149918539298379727e+00,4.186045628694381904e+00,4.968487708031154582e-01,3.485684793077797883e-02,1.930726704706160923e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999373125006974e-02,2.065583675854464119e+00,0.000000000000000000e+00,2.065583546368189083e+00,2.017864244353188674e+00
3.100000000000000000e+02,9.685617558607257926e-01,2.992710306658959212e+02,9.999963115334502550e-01,4.149153398886294752e+00,4.185287437347861683e+00,4.969400614082898349e-01,3.485684790904777092e-02,1.930726700121943029e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999366890877095e-02,2.065583672473886523e+00,0.000000000000000000e+00,2.065583541699899772e+00,2.017869616726745363e+00
3.200000000000000000e+02,9.680687989302891872e-01,2.992710341098550657e+02,9.999961951086902001e-01,4.148397144278399118e+00,4.184538056316704946e+00,4.970303248751847813e-01,3.485684788718283050e-02,1.930726695773223645e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999360618097577e-02,2.065583669336269246e+00,0.000000000000000000e+00,2.065583537266587388e+00,2.017874931573236719e+00
3.300000000000000000e+02,9.675776442841912406e-01,2.992710373715386822e+02,9.999960787745169055e-01,4.147649489991899863e+00,4.183797202523695802e+00,4.971195941322032463e-01,3.485684786518238737e-02,1.930726691583056542e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999354306440824e-02,2.065583666364710247e+00,0.000000000000000000e+00,2.065583532991303262e+00,2.017880190632488357e+00
3.400000000000000000e+02,9.670882691956597110e-01,2.992710405054116336e+02,9.999959625294257970e-01,4.146910165041114205e+00,4.183064607277478864e+00,4.972079004456402829e-01,3.485684784304566436e-02,1.930726687501780559e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999347955688955e-02,2.065583663509590995e+00,0.000000000000000000e+00,2.065583528824383119e+00,2.017885395592807107e+00
3.500000000000000000e+02,9.666006514382902148e-01,2.992710435467259344e+02,9.999958463719644808e-01,4.146178911788134691e+00,4.182340015129246247e+00,4.972952735493909038e-01,3.485684782077187738e-02,1.930726683497234530e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999341565612987e-02,2.065583660738793625e+00,0.000000000000000000e+00,2.065583524733662468e+00,2.017890548083211222e+00
3.600000000000000000e+02,9.661147691935723092e-01,2.992710465184026134e+02,9.999957303007307452e-01,4.145455484954574388e+00,4.181623182890117363e+00,4.973817417571106403e-01,3.485684779836024233e-02,1.930726679548493863e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999335135992262e-02,2.065583658031437064e+00,0.000000000000000000e+00,2.065583520698214048e+00,2.017895649670089941e+00
3.700000000000000000e+02,9.656306009909507715e-01,2.992710494354436150e+02,9.999956143143695630e-01,4.144739650755455251e+00,4.180913878770414982e+00,4.974673320608844485e-01,3.485684777580998900e-02,1.930726675641848633e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999328666603349e-02,2.065583655373854022e+00,0.000000000000000000e+00,2.065583516704324829e+00,2.017900701856560008e+00
3.800000000000000000e+02,9.651481256687244326e-01,2.992710523077607832e+02,9.999954984115708712e-01,4.144031186128781741e+00,4.180211881614422254e+00,4.975520702191781330e-01,3.485684775312029859e-02,1.930726671768223435e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999322157211712e-02,2.065583652757014388e+00,0.000000000000000000e+00,2.065583512742915850e+00,2.017905706083439110e+00
3.900000000000000000e+02,9.646673223482621351e-01,2.992710551419902458e+02,9.999953825910675720e-01,4.143329878042377068e+00,4.179516980212183874e+00,4.976359808361937032e-01,3.485684773029038702e-02,1.930726667921528250e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999315607591144e-02,2.065583650174871888e+00,0.000000000000000000e+00,2.065583508807894653e+00,2.017910663731168341e+00
4.000000000000000000e+02,9.641881704167608591e-01,2.992710579426557160e+02,9.999952668516327581e-01,4.142635522864924091e+00,4.178828972675283637e+00,4.977190874340035598e-01,3.485684770731942855e-02,1.930726664097597745e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999309017508498e-02,2.065583647623305819e+00,0.000000000000000000e+00,2.065583504895092126e+00,2.017915576122233823e+00
4.100000000000000000e+02,9.637106495154414976e-01,2.992710607129155278e+02,9.999951511920786018e-01,4.141947925791512830e+00,4.178147665866878135e+00,4.978014125183892746e-01,3.485684768420661134e-02,1.930726660293506924e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999302386725075e-02,2.065583645099438037e+00,0.000000000000000000e+00,2.065583501001580835e+00,2.017920444523822798e+00
4.200000000000000000e+02,9.632347395312429450e-01,2.992710634550415989e+02,9.999950356112542460e-01,4.141266900316428412e+00,4.177472874878717768e+00,4.978829776394472773e-01,3.485684766095108883e-02,1.930726656507141481e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999295715003567e-02,2.065583642601199532e+00,0.000000000000000000e+00,2.065583497125242474e+00,2.017925270150561889e+00
4.300000000000000000e+02,9.627604205907289714e-01,2.992710661707274085e+02,9.999949201080439165e-01,4.140592267747461364e+00,4.176804422549436069e+00,4.979638034473617969e-01,3.485684763755202142e-02,1.930726652736911353e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999289002099723e-02,2.065583640127047538e+00,0.000000000000000000e+00,2.065583493264484538e+00,2.017930054167219378e+00
4.400000000000000000e+02,9.622876730554212887e-01,2.992710688612859826e+02,9.999948046813653679e-01,4.139923856757136811e+00,4.176142139019510147e+00,4.980439097439844920e-01,3.485684761400855564e-02,1.930726648981573312e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999282247770682e-02,2.065583637675785678e+00,0.000000000000000000e+00,2.065583489418059582e+00,2.017934797691334214e+00
4.500000000000000000e+02,9.618164775180358950e-01,2.992710715277769964e+02,9.999946893301691064e-01,4.139261502967088724e+00,4.175485861319124581e+00,4.981233155306427074e-01,3.485684759031983104e-02,1.930726645240113948e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999275451768033e-02,2.065583635246448502e+00,0.000000000000000000e+00,2.065583485584951084e+00,2.017939501795722013e+00
4.600000000000000000e+02,9.613468147992936252e-01,2.992710741710891966e+02,9.999945740534357252e-01,4.138605048562362221e+00,4.174835432985738670e+00,4.982020390524850018e-01,3.485684756648496641e-02,1.930726641511674169e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999268613837811e-02,2.065583632838226436e+00,0.000000000000000000e+00,2.065583481764297513e+00,2.017944167510858033e+00
4.700000000000000000e+02,9.608786659450914147e-01,2.992710767919937211e+02,9.999944588501754605e-01,4.137954341932902125e+00,4.174190703708624106e+00,4.982800978397214919e-01,3.485684754250307354e-02,1.930726637795504130e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999261733730216e-02,2.065583630450416930e+00,0.000000000000000000e+00,2.065583477955344804e+00,2.017948795827122499e+00
4.800000000000000000e+02,9.604120122239198087e-01,2.992710793911779774e+02,9.999943437194270812e-01,4.137309237339828805e+00,4.173551528997986537e+00,4.983575087459726216e-01,3.485684751837325734e-02,1.930726634090926597e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999254811182958e-02,2.065583628082393819e+00,0.000000000000000000e+00,2.065583474157411725e+00,2.017953387696910905e+00
4.900000000000000000e+02,9.599468351244085929e-01,2.992710819692690052e+02,9.999942286602557795e-01,4.136669594604378553e+00,4.172917769876574035e+00,4.984342879841673901e-01,3.485684749409460881e-02,1.930726630397320065e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999247845939299e-02,2.065583625733585560e+00,0.000000000000000000e+00,2.065583470369874330e+00,2.017957944036619100e+00
5.000000000000000000e+02,9.594831163529862206e-01,2.992710845268476874e+02,9.999941136717529488e-01,4.136035278817642435e+00,4.172289292591890408e+00,4.985104511598233978e-01,3.485684746966621200e-02,1.930726626714104999e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999240837732783e-02,2.065583623403463243e+00,0.000000000000000000e+00,2.065583466592148643e+00,2.017962465728500465e+00
5.100000000000000000e+02,9.590208378315813187e-01,2.992710870644589818e+02,9.999939987530347407e-01,4.135406160069394765e+00,4.171665968347357811e+00,4.985860133023299334e-01,3.485684744508713712e-02,1.930726623040733836e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999233786299735e-02,2.065583621091530819e+00,0.000000000000000000e+00,2.065583462823683991e+00,2.017966953622409410e+00
5.200000000000000000e+02,9.585599816953817021e-01,2.992710895826182309e+02,9.999938839032412874e-01,4.134782113194520825e+00,4.171047673050923166e+00,4.986609888940941593e-01,3.485684742035644046e-02,1.930726619376684550e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999226691369536e-02,2.065583618797318888e+00,0.000000000000000000e+00,2.065583459063954574e+00,2.017971408537432065e+00
5.300000000000000000e+02,9.581005302906040466e-01,2.992710920818161071e+02,9.999937691215355917e-01,4.134163017535649409e+00,4.170434287079717528e+00,4.987353918978927880e-01,3.485684739547317834e-02,1.930726615721457096e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999219552667407e-02,2.065583616520379362e+00,0.000000000000000000e+00,2.065583455312456795e+00,2.017975831263419728e+00
5.400000000000000000e+02,9.576424661722943155e-01,2.992710945625215686e+02,9.999936544071023059e-01,4.133548756720757389e+00,4.169825695059578230e+00,4.988092357824351342e-01,3.485684737043637932e-02,1.930726612074571413e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999212369919954e-02,2.065583614260285916e+00,0.000000000000000000e+00,2.065583451568707041e+00,2.017980222562424597e+00
5.500000000000000000e+02,9.571857721021319598e-01,2.992710970251845879e+02,9.999935397591478425e-01,4.132939218454610319e+00,4.169221785658280055e+00,4.988825335464210919e-01,3.485684734524507888e-02,1.930726608435563652e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999205142845460e-02,2.065583612016628656e+00,0.000000000000000000e+00,2.065583447832237241e+00,2.017984583170048918e+00
5.600000000000000000e+02,9.567304310462634298e-01,2.992710994702371750e+02,9.999934251768983762e-01,4.132334294323033674e+00,4.168622451391478911e+00,4.989552977410234846e-01,3.485684731989829171e-02,1.930726604803985502e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999197871164980e-02,2.065583609789013231e+00,0.000000000000000000e+00,2.065583444102595756e+00,2.017988913796708417e+00
5.700000000000000000e+02,9.562764261731205861e-01,2.992711018980958784e+02,9.999933106596001764e-01,4.131733879609006621e+00,4.168027588440391895e+00,4.990275404910895496e-01,3.485684729439501861e-02,1.930726601179403756e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999190554592632e-02,2.065583607577061276e+00,0.000000000000000000e+00,2.065583440379344715e+00,2.017993215128822904e+00
5.800000000000000000e+02,9.558237408512771927e-01,2.992711043091617285e+02,9.999931962065180535e-01,4.131137873119815396e+00,4.167437096480427705e+00,4.990992735150396320e-01,3.485684726873426731e-02,1.930726597561396085e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999183192838370e-02,2.065583605380406862e+00,0.000000000000000000e+00,2.065583436662058681e+00,2.017997487829936265e+00
5.900000000000000000e+02,9.553723586472968599e-01,2.992711067038220563e+02,9.999930818169350255e-01,4.130546177024390531e+00,4.166850878519922752e+00,4.991705081435907077e-01,3.485684724291500391e-02,1.930726593949553482e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999175785610761e-02,2.065583603198697382e+00,0.000000000000000000e+00,2.065583432950324205e+00,2.018001732541767623e+00
6.000000000000000000e+02,9.549222633236006397e-01,2.992711090824506641e+02,9.999929674901518739e-01,4.129958696700152920e+00,4.166268840748297286e+00,4.992412553374057649e-01,3.485684721693621535e-02,1.930726590343478266e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999168332616983e-02,2.065583601031591776e+00,0.000000000000000000e+00,2.065583429243740721e+00,2.018005949885203876e+00
6.100000000000000000e+02,9.544734388363425026e-01,2.992711114454090193e+02,9.999928532254859226e-01,4.129375340588691934e+00,4.165690892392976963e+00,4.993115257036972454e-01,3.485684719079685384e-02,1.930726586742784967e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999160833557277e-02,2.065583598878761418e+00,0.000000000000000000e+00,2.065583425541917428e+00,2.018010140461235391e+00
6.200000000000000000e+02,9.540258693332969164e-01,2.992711137930465952e+02,9.999927390222711487e-01,4.128796020059668948e+00,4.165116945584453667e+00,4.993813295119289286e-01,3.485684716449588549e-02,1.930726583147095665e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999153288133269e-02,2.065583596739887451e+00,0.000000000000000000e+00,2.065583421844472856e+00,2.018014304851835305e+00
6.300000000000000000e+02,9.535795391517647435e-01,2.992711161257014965e+02,9.999926248798571837e-01,4.128220649282393850e+00,4.164546915228966029e+00,4.994506767085523102e-01,3.485684713803223478e-02,1.930726579556044875e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999145696038261e-02,2.065583594614662566e+00,0.000000000000000000e+00,2.065583418151037520e+00,2.018018443620792635e+00
6.400000000000000000e+02,9.531344328164798041e-01,2.992711184437011411e+02,9.999925107976085359e-01,4.127649145104514972e+00,4.163980718888234733e+00,4.995195769310363798e-01,3.485684711140484004e-02,1.930726575969274217e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999138056968329e-02,2.065583592502787447e+00,0.000000000000000000e+00,2.065583414461249046e+00,2.018022557314495646e+00
6.500000000000000000e+02,9.526905350375455273e-01,2.992711207473623176e+02,9.999923967749049236e-01,4.127081426937427189e+00,4.163418276665843187e+00,4.995880395210473557e-01,3.485684708461260495e-02,1.930726572386434858e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999130370607059e-02,2.065583590403973879e+00,0.000000000000000000e+00,2.065583410774753492e+00,2.018026646462679263e+00
6.600000000000000000e+02,9.522478307083676041e-01,2.992711230369922646e+02,9.999922828111398321e-01,4.126517416647870640e+00,4.162859511099765264e+00,4.996560735369190431e-01,3.485684705765446090e-02,1.930726568807187515e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999122636649140e-02,2.065583588317942532e+00,0.000000000000000000e+00,2.065583407091208468e+00,2.018030711579122283e+00
