t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,3.962884047628078221e+00,4.291844779668727128e+00,5.470208406360186792e+00,2.222269035591419417e+00,1.885553261543071102e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999662394515321e-02,2.167780236262030513e+01,0.000000000000000000e+00,2.167780163076580635e+01,2.282695205351285495e+01
5.000000000000000000e+00,9.581624872692361405e-01,3.010697990924273313e+02,9.999993923286474296e-01,3.847846058870544095e+00,4.170516828327861525e+00,5.596349169364664533e+00,2.222268937394822785e+00,1.882502862264427179e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999220519151244e-02,2.164729920063576074e+01,0.000000000000000000e+00,2.164729751327024587e+01,2.269025109938041496e+01
1.000000000000000000e+01,9.260686838960952016e-01,3.033874736737879516e+02,9.999987934212339891e-01,3.818433984707098716e+00,4.132644835933239058e+00,5.601216674144695595e+00,2.222268781488139666e+00,1.876571657545326843e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999998518953881477e-02,2.158798846535929528e+01,0.000000000000000000e+00,2.158798526807864349e+01,2.250020270666710687e+01
1.500000000000000000e+01,9.011201101926241686e-01,3.052219395528716177e+02,9.999982045937892972e-01,3.799284399156636738e+00,4.107040308157417385e+00,5.587298404138152819e+00,2.222268568533614541e+00,1.867039805649863382e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999997560678737518e-02,2.149267172142608828e+01,0.000000000000000000e+00,2.149266647867297664e+01,2.230248485060933561e+01
2.000000000000000000e+01,8.815084098019156933e-01,3.066681715274461908e+02,9.999976253543833016e-01,3.785656852546968043e+00,4.088170425152730658e+00,5.560260535040234764e+00,2.222268308180181062e+00,1.853942974695556600e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999996389113006978e-02,2.136170555195300480e+01,0.000000000000000000e+00,2.136169783848253090e+01,2.209044922240726549e+01
2.500000000000000000e+01,8.659474043025567891e-01,3.078020421928922588e+02,9.999970552436809879e-01,3.775719889660793083e+00,4.073754622743772202e+00,5.523995080669757307e+00,2.222268015219481363e+00,1.838129575865429288e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999995070817674359e-02,2.120357392975102329e+01,0.000000000000000000e+00,2.120356347812283460e+01,2.186730372962795244e+01
3.000000000000000000e+01,8.534921631324136060e-01,3.086851116179598762e+02,9.999964937365948270e-01,3.768372696585818638e+00,4.062501083031484050e+00,5.482887776451396356e+00,2.222267705358074164e+00,1.820957163432626302e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999993676470762816e-02,2.103185225982585393e+01,0.000000000000000000e+00,2.103183896027258371e+01,2.164329526173239060e+01
3.500000000000000000e+01,8.434284124117117365e-01,3.093679536616874088e+02,9.999959401414004745e-01,3.762836940662499075e+00,4.053567932070560431e+00,5.441182558460358365e+00,2.222267392040989442e+00,1.803845292052097804e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999992266573630439e-02,2.086073598105296156e+01,0.000000000000000000e+00,2.086071984855638917e+01,2.143039718458154042e+01
4.000000000000000000e+01,8.352055243407845442e-01,3.098922811819573440e+02,9.999953936013596945e-01,3.758542708436151791e+00,4.046364180563683632e+00,5.402192430403665924e+00,2.222267084840065188e+00,1.787924939147366032e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999990884198638186e-02,2.070153480047355998e+01,0.000000000000000000e+00,2.070151592936564455e+01,2.123821077399136570e+01
4.500000000000000000e+01,8.283950044508382460e-01,3.102923268397549350e+02,9.999948531657936179e-01,3.755078481372724486e+00,4.040457833129440957e+00,5.367961510919609935e+00,2.222266789233792839e+00,1.773890759526843297e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999989553998478442e-02,2.056119523596980869e+01,0.000000000000000000e+00,2.056117375774213585e+01,2.107220775588107031e+01
5.000000000000000000e+01,8.226630531180707528e-01,3.105958722986355838e+02,9.999943178785517528e-01,3.752155247069319355e+00,4.035526638844891600e+00,5.339362753144928142e+00,2.222266507259922808e+00,1.762025192058567669e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999988285142835664e-02,2.044254167309975045e+01,0.000000000000000000e+00,2.044251772495417185e+01,2.093388832272515998e+01
