t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,4.143221008661750915e+00,4.291844779668727128e+00,2.471428721914608939e+00,1.645688630067427161e+00,6.593986839500335151e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999949359177132e+00,1.023967574774373546e+01,0.000000000000000000e+00,1.023967540204666449e+01,1.029979853173732529e+01
5.000000000000000000e+00,9.831743455775620033e-01,2.992901489431288269e+02,9.999997233739320590e-01,4.057226396836211890e+00,4.211490784165016876e+00,2.517435771504524133e+00,1.645688607840511963e+00,6.591041940055490933e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999929099954832e+00,1.023673093721906646e+01,0.000000000000000000e+00,1.023673045336260934e+01,1.029505610715854402e+01
1.000000000000000000e+01,9.697128316255578806e-01,3.002019494324665629e+02,9.999994468383386348e-01,4.029925434050061206e+00,4.187060974697116578e+00,2.529251935125278461e+00,1.645688583807941141e+00,6.587680639339647648e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999907194927262e+00,1.023336973254657423e+01,0.000000000000000000e+00,1.023336909940749173e+01,1.028313161390290098e+01
1.500000000000000000e+01,9.588525456534637836e-01,3.009307910871177683e+02,9.999991711749410817e-01,4.012307051402905778e+00,4.171439827230694064e+00,2.536081036736005601e+00,1.645688559106727622e+00,6.584109472426369791e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999884680449869e+00,1.022979866423754913e+01,0.000000000000000000e+00,1.022979787777369687e+01,1.027221626826180056e+01
2.000000000000000000e+01,9.500123937335764879e-01,3.015132736659782609e+02,9.999988964005516179e-01,3.999516631757585206e+00,4.160069672639327365e+00,2.540700434510587691e+00,1.645688534638260814e+00,6.580526648560073077e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999862378115001e+00,1.022621593793656203e+01,0.000000000000000000e+00,1.022621499970248671e+01,1.026270528496502621e+01
2.500000000000000000e+01,9.427494650486748506e-01,3.019787158009436894e+02,9.999986224268428980e-01,3.989765073273930707e+00,4.151327178638994475e+00,2.544064840107300718e+00,1.645688511032946000e+00,6.577093303805169100e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999840862519473e+00,1.022278268720672756e+01,0.000000000000000000e+00,1.022278160265480729e+01,1.025456311889301730e+01
3.000000000000000000e+01,9.367234140342647342e-01,3.023505846612787877e+02,9.999983491498962707e-01,3.982109781786379088e+00,4.144384386690831867e+00,2.546642287052803155e+00,1.645688488670199012e+00,6.573921772370111327e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999820479490431e+00,1.021961124476617755e+01,0.000000000000000000e+00,1.021961002167963173e+01,1.024767741869182380e+01
3.500000000000000000e+01,9.316708182107228398e-01,3.026476575289589164e+02,9.999980764719156312e-01,3.975967038474949256e+00,4.138740972314150390e+00,2.548702232257672673e+00,1.645688467727012050e+00,6.571076820076434011e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999801390351051e+00,1.021676637575616908e+01,0.000000000000000000e+00,1.021676502299058065e+01,1.024191671636625856e+01
4.000000000000000000e+01,9.273865796313249810e-01,3.028849552088555015e+02,9.999978043070198996e-01,3.970943588580634565e+00,4.134064974618412158e+00,2.550412808715453394e+00,1.645688448233088241e+00,6.568583972660293924e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999783622175453e+00,1.021427360581781763e+01,0.000000000000000000e+00,1.021427213238961684e+01,1.023714552858239379e+01
4.500000000000000000e+01,9.237102453582336503e-01,3.030744905440802768e+02,9.999975325821112149e-01,3.966761520961814114e+00,4.130123441062686140e+00,2.551883455421572133e+00,1.645688430120609835e+00,6.566440185290479903e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999767113149307e+00,1.021212989040913577e+01,0.000000000000000000e+00,1.021212830489528933e+01,1.023323136689825219e+01
