t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,4.193402413228032088e+00,4.291844779668727128e+00,1.636974289014345718e+00,8.365643745379288676e-01,5.927927562783130710e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.864492165694024983e+00,0.000000000000000000e+00,6.864491933945004121e+00,6.819705023536350552e+00
5.000000000000000000e+00,1.000000000000000000e+00,2.939253932117494514e+02,9.999998128171625478e-01,4.169830946995968901e+00,4.291844779668727128e+00,1.644873161473856094e+00,8.365643745379288676e-01,5.932100045513554853e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.868664648565315112e+00,0.000000000000000000e+00,6.868664416675428264e+00,6.853480583721679231e+00
1.000000000000000000e+01,1.000000000000000000e+00,2.905460356934852371e+02,9.999996264118330425e-01,4.148479169562055979e+00,4.291844779668727128e+00,1.651724173494395931e+00,8.365643745379288676e-01,5.932955227019213851e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869519830099845237e+00,0.000000000000000000e+00,6.869519598181087261e+00,6.882858408480315049e+00
1.500000000000000000e+01,1.000000000000000000e+00,2.878431639778236786e+02,9.999994403830517742e-01,4.129439059051617456e+00,4.291844779668727128e+00,1.657986938957528800e+00,8.365643745379288676e-01,5.933186390520332587e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869750993608768397e+00,0.000000000000000000e+00,6.869750761682205997e+00,6.909730290842099443e+00
2.000000000000000000e+01,1.000000000000000000e+00,2.856817023831429196e+02,9.999992544695806007e-01,4.112735706983526640e+00,4.291844779668727128e+00,1.663648457019738069e+00,8.365643745379288676e-01,5.933264265758241507e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869828868849306325e+00,0.000000000000000000e+00,6.869828636920114917e+00,6.934026311327809111e+00
2.500000000000000000e+01,1.000000000000000000e+00,2.839534720346832160e+02,9.999990685137734037e-01,4.098304045265493301e+00,4.291844779668727128e+00,1.668668920350863782e+00,8.365643745379288676e-01,5.933295521682050655e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869860124774170629e+00,0.000000000000000000e+00,6.869859892843924065e+00,6.955572422990323744e+00
3.000000000000000000e+01,1.000000000000000000e+00,2.825718383342681364e+02,9.999988822144320055e-01,4.086003109608433270e+00,4.291844779668727128e+00,1.673040530048267360e+00,8.365643745379288676e-01,5.933309942671731285e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869874545764337981e+00,0.000000000000000000e+00,6.869874313833604695e+00,6.974334260619659887e+00
3.500000000000000000e+01,1.000000000000000000e+00,2.814674342308197765e+02,9.999986954683368623e-01,4.075640635913727827e+00,4.291844779668727128e+00,1.676787822146003526e+00,8.365643745379288676e-01,5.933317377418215521e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869881980511073571e+00,0.000000000000000000e+00,6.869881748580088932e+00,6.990416833605068270e+00
4.000000000000000000e+01,1.000000000000000000e+00,2.805847325664950631e+02,9.999985083422877619e-01,4.066997669875338950e+00,4.291844779668727128e+00,1.679957981829853564e+00,8.365643745379288676e-01,5.933321564922693803e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869886168015693073e+00,0.000000000000000000e+00,6.869885936084567213e+00,7.004022541269919522e+00
4.500000000000000000e+01,1.000000000000000000e+00,2.798792965665888346e+02,9.999983208965520509e-01,4.059848739447902588e+00,4.291844779668727128e+00,1.682610892251803492e+00,8.365643745379288676e-01,5.933324095824576538e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869888698917661074e+00,0.000000000000000000e+00,6.869888466986449949e+00,7.015408345088322228e+00
5.000000000000000000e+01,1.000000000000000000e+00,2.793155739375821440e+02,9.999981331844843835e-01,4.053976278815235368e+00,4.291844779668727128e+00,1.684811236530442624e+00,8.365643745379288676e-01,5.933325714005586171e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869890317098724886e+00,0.000000000000000000e+00,6.869890085167458693e+00,7.024851832648698391e+00
5.500000000000000000e+01,1.000000000000000000e+00,2.788651273567624571e+02,9.999979452523231060e-01,4.049179656652866832e+00,4.291844779668727128e+00,1.686622988247488797e+00,8.365643745379288676e-01,5.933326796117514235e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869891399210690253e+00,0.000000000000000000e+00,6.869891167279387645e+00,7.032627557334234503e+00
