t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,4.262692223199244346e+00,4.291844779668727128e+00,4.847708067677493071e-01,3.485684893908036486e-02,1.931571902479896519e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,2.066428817806692741e+00,0.000000000000000000e+00,2.066428748042922425e+00,2.018568261591545454e+00
1.000000000000000000e+01,9.939636357949275247e-01,2.985523746945199264e+02,9.999998668358198728e-01,4.215381450268501418e+00,4.244422210265303974e+00,4.901484411484705039e-01,3.485684878807849413e-02,1.931305801716465709e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999619073941803e-02,2.066162725400805922e+00,0.000000000000000000e+00,2.066162646695283822e+00,2.018412126880981372e+00
2.000000000000000000e+01,9.899192211946185038e-01,2.988103293254609980e+02,9.999997412576470124e-01,4.200013377830975614e+00,4.228881874667608010e+00,4.918963606252418352e-01,3.485684867621265809e-02,1.931114450586358666e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999586981013489e-02,2.065971380460922102e+00,0.000000000000000000e+00,2.065971295132381425e+00,2.018192547577755125e+00
3.000000000000000000e+01,9.871393407759749827e-01,2.989756868524925153e+02,9.999996178440939687e-01,4.192095089463295565e+00,4.220840881623785457e+00,4.927939859882778384e-01,3.485684859390447699e-02,1.930982404550918519e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999563367811817e-02,2.065839338979696294e+00,0.000000000000000000e+00,2.065839248778501336e+00,2.018029912309463825e+00
4.000000000000000000e+01,9.851650357077118558e-01,2.990816843746661675e+02,9.999994955537545582e-01,4.187196530304233555e+00,4.215862939102172469e+00,4.933493066413645600e-01,3.485684853260587190e-02,1.930893661006301665e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999545781999843e-02,2.065750598826838313e+00,0.000000000000000000e+00,2.065750504996727521e+00,2.017920633766394189e+00
5.000000000000000000e+01,9.837054537163759660e-01,2.991496305272041241e+02,9.999993739580081975e-01,4.183852234722717611e+00,4.212469415340796886e+00,4.937296421369415933e-01,3.485684848570669986e-02,1.930835022794509248e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999532327205620e-02,2.065691963210281479e+00,0.000000000000000000e+00,2.065691866603488247e+00,2.017850354659505463e+00
6.000000000000000000e+01,9.825755750961618906e-01,2.991931852919552171e+02,9.999992528382590784e-01,4.181392197345530803e+00,4.209980150030383506e+00,4.940109519059652787e-01,3.485684844844966906e-02,1.930796696038010296e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999521638625044e-02,2.065653638515737800e+00,0.000000000000000000e+00,2.065653539702846153e+00,2.017806791079152617e+00
7.000000000000000000e+01,9.816574031060461003e-01,2.992211050935735557e+02,9.999991320712608989e-01,4.179462929766360801e+00,4.208034682347752131e+00,4.942330383449960451e-01,3.485684841754729119e-02,1.930771818883434632e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999512773113941e-02,2.065628763071700291e+00,0.000000000000000000e+00,2.065628662428713014e+00,2.017781004268691891e+00
8.000000000000000000e+01,9.808755581887611541e-01,2.992390029102895710e+02,9.999990115833283788e-01,4.177863522056044943e+00,4.206427481309781058e+00,4.944183972728430909e-01,3.485684839078213165e-02,1.930755743157886561e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999505094520069e-02,2.065612688827918042e+00,0.000000000000000000e+00,2.065612586599613998e+00,2.017766855117079761e+00
9.000000000000000000e+01,9.801818313454326859e-01,2.992504766800053631e+02,9.999988913285422498e-01,4.176474854097092404e+00,4.205036408408129311e+00,4.945803098668703490e-01,3.485684836668057757e-02,1.930745384142064314e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999498180080215e-02,2.065602331146585424e+00,0.000000000000000000e+00,2.065602227490545673e+00,2.017760243593619940e+00
1.000000000000000000e+02,9.795453660056078204e-01,2.992578326719392408e+02,9.999987712772523407e-01,4.175224450268183674e+00,4.203787030612103237e+00,4.947268316848533187e-01,3.485684834427233564e-02,1.930738720592510171e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999491751432323e-02,2.065595668837900689e+00,0.000000000000000000e+00,2.065595563854296657e+00,2.017758473651055429e+00
1.100000000000000000e+02,9.789464000363875540e-01,2.992625491901835630e+02,9.999986514096230739e-01,4.174067447493164273e+00,4.202633220756569976e+00,4.948629383260962911e-01,3.485684832292221952e-02,1.930734438658587404e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999485626348550e-02,2.065591388086351898e+00,0.000000000000000000e+00,2.065591281837773074e+00,2.017759788936447141e+00
1.200000000000000000e+02,9.783722697402864599e-01,2.992655738147793727e+02,9.999985317118630368e-01,4.172975711362351348e+00,4.201546030432988132e+00,4.949917456027194684e-01,3.485684830221588704e-02,1.930731688625910936e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999479685957315e-02,2.065588639200464094e+00,0.000000000000000000e+00,2.065588531724986687e+00,2.017763052133651591e+00
1.300000000000000000e+02,9.778148552557717199e-01,2.992675139348456241e+02,9.999984121739683429e-01,4.171931394054753106e+00,4.200507088933761679e+00,4.951152285690834098e-01,3.485684828188366502e-02,1.930729922721552860e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999473852894116e-02,2.065586874422221442e+00,0.000000000000000000e+00,2.065586765741965536e+00,2.017767529891095535e+00
1.400000000000000000e+02,9.772689462041984632e-01,2.992687588801098286e+02,9.999982927883473982e-01,4.170923037065113803e+00,4.199504602724265290e+00,4.952346550469122199e-01,3.485684826175020068e-02,1.930728788545643893e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999468076850584e-02,2.065585741361450012e+00,0.000000000000000000e+00,2.065585631488162655e+00,2.017772750930516779e+00
1.500000000000000000e+02,9.767311955770294762e-01,2.992695582065603617e+02,9.999981735489734680e-01,4.169943180044944242e+00,4.198530897459417766e+00,4.953508509264866189e-01,3.485684824170153656e-02,1.930728059685411058e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999462325137589e-02,2.065585013611678011e+00,0.000000000000000000e+00,2.065584902550364088e+00,2.017778413350632682e+00
1.600000000000000000e+02,9.761994499348789489e-01,2.992700718768973616e+02,9.999980544508565439e-01,4.168986880025041586e+00,4.197580894052286737e+00,4.954643641311474722e-01,3.485684822166359303e-02,1.930727590795260129e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999456576498524e-02,2.065584545831407492e+00,0.000000000000000000e+00,2.065584433582688728e+00,2.017784324434431120e+00
1.700000000000000000e+02,9.756723204646283731e-01,2.992704024256792650e+02,9.999979354897128303e-01,4.168050788532481121e+00,4.196651157962521417e+00,4.955755666445703089e-01,3.485684820158815173e-02,1.930727288620586624e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999450817102786e-02,2.065584244768699840e+00,0.000000000000000000e+00,2.065584131330345574e+00,2.017790361712175073e+00
1.800000000000000000e+02,9.751489082477666770e-01,2.992706155767991163e+02,9.999978166617539133e-01,4.167132573698841824e+00,4.195739303377048479e+00,4.956847183163677895e-01,3.485684818144376557e-02,1.930727093349057233e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999445037927037e-02,2.065584050612961242e+00,0.000000000000000000e+00,2.065583935980880526e+00,2.017796447837066687e+00
1.900000000000000000e+02,9.746286282842948623e-01,2.992707534590187493e+02,9.999976979635528673e-01,4.166230557009949820e+00,4.194843618420036613e+00,4.957920069267616747e-01,3.485684816120984686e-02,1.930726966626034935e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999439233064891e-02,2.065583925010692212e+00,0.000000000000000000e+00,2.065583809179575514e+00,2.017802534401196723e+00
2.000000000000000000e+02,9.741110967673465293e-01,2.992708430769434926e+02,9.999975793919564371e-01,4.165343484171589949e+00,4.193962828596028203e+00,4.958975734375799527e-01,3.485684814087285088e-02,1.930726883859879672e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999433398631954e-02,2.065583843371002093e+00,0.000000000000000000e+00,2.065583726334738746e+00,2.017808591523325035e+00
2.100000000000000000e+02,9.735960588719443365e-01,2.992709017407940451e+02,9.999974609440273055e-01,4.164470380044269504e+00,4.193095946953978803e+00,4.960015279681978528e-01,3.485684812042378483e-02,1.930726829284520552e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999427532046958e-02,2.065583789928317149e+00,0.000000000000000000e+00,2.065583671680264910e+00,2.017814601156639132e+00
2.200000000000000000e+02,9.730833424957797684e-01,2.992709405468099249e+02,9.999973426170051249e-01,4.163610456412698113e+00,4.192242178793045504e+00,4.961039599483391682e-01,3.485684809985659105e-02,1.930726792792475388e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999421631573793e-02,2.065583754575490261e+00,0.000000000000000000e+00,2.065583635108647620e+00,2.017820552791257604e+00
2.300000000000000000e+02,9.725728286246118071e-01,2.992709666081345858e+02,9.999972244082796502e-01,4.162763053037869199e+00,4.191400860749271651e+00,4.962049446058950375e-01,3.485684807916712702e-02,1.930726767903981234e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999415696021743e-02,2.065583730832987630e+00,0.000000000000000000e+00,2.065583610140108384e+00,2.017826440697068957e+00
2.400000000000000000e+02,9.720644323474192383e-01,2.992709844847796603e+02,9.999971063153709760e-01,4.161927599724137394e+00,4.190571421603518587e+00,4.963045471423814803e-01,3.485684805835247840e-02,1.930726750464870189e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999409724556754e-02,2.065583714546802785e+00,0.000000000000000000e+00,2.065583592620468423e+00,2.017832262156672218e+00
2.500000000000000000e+02,9.715580906939302874e-01,2.992709971002093994e+02,9.999969883359151046e-01,4.161103591689729875e+00,4.189753356846776633e+00,4.964028254455344347e-01,3.485684803741052190e-02,1.930726737811778504e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999403716566815e-02,2.065583703053689213e+00,0.000000000000000000e+00,2.065583579886355103e+00,2.017838016334387419e+00
2.600000000000000000e+02,9.710537548426458887e-01,2.992710063288586753e+02,9.999968704676536202e-01,4.160290573384787471e+00,4.188946211984553081e+00,4.964998318734020755e-01,3.485684801633964075e-02,1.930726728236993539e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999397671591184e-02,2.065583694646023094e+00,0.000000000000000000e+00,2.065583570230049126e+00,2.017843703553650947e+00
2.700000000000000000e+02,9.705513851286784455e-01,2.992710133727236439e+02,9.999967527084240304e-01,4.159488127694139337e+00,4.188149571413144479e+00,4.965956144467971733e-01,3.485684799513853738e-02,1.930726720645402406e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999391589256548e-02,2.065583688228764370e+00,0.000000000000000000e+00,2.065583562556433606e+00,2.017849324836472835e+00
2.800000000000000000e+02,9.700509478451840861e-01,2.992710190027516433e+02,9.999966350561528827e-01,4.158695868589587619e+00,4.187363050865409164e+00,4.966902176627833732e-01,3.485684797380613625e-02,1.930726714334592531e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999385469254820e-02,2.065583683099559309e+00,0.000000000000000000e+00,2.065583556163090861e+00,2.017854881610928963e+00
2.900000000000000000e+02,9.695524131937862666e-01,2.992710237135698321e+02,9.999965175088494362e-01,4.157913436006500874e+00,4.186586292157703504e+00,4.967836830636972456e-01,3.485684795234147981e-02,1.930726708853890194e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999379311308445e-02,2.065583678807787926e+00,0.000000000000000000e+00,2.065583550599344953e+00,2.017860375526304040e+00
