t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,3.962884047628078221e+00,4.291844779668727128e+00,5.470208406360186792e+00,2.222269035591419417e+00,1.885553261543071102e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999662394515321e-02,2.167780236262030513e+01,0.000000000000000000e+00,2.167780163076580635e+01,2.282695205351285495e+01
5.000000000000000000e+00,9.581617795204969701e-01,3.010698333864828555e+02,9.999993922766319265e-01,3.867467236061244762e+00,4.169923393032006764e+00,5.597279982190817016e+00,2.222268937392370525e+00,1.882502805156159198e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999220508117015e-02,2.164729862957381101e+01,0.000000000000000000e+00,2.164729694218445388e+01,2.269081146358940515e+01
1.000000000000000000e+01,9.260663429566925453e-01,3.033875857655585833e+02,9.999987932290296255e-01,3.852999844150796882e+00,4.131567371201732009e+00,5.602902145526186928e+00,2.222268781472729771e+00,1.876571240089874948e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999998518884539722e-02,2.158798429093428695e+01,0.000000000000000000e+00,2.158798109350455618e+01,2.250113135719387003e+01
1.500000000000000000e+01,9.011156816763996602e-01,3.052221466413209896e+02,9.999982041936296140e-01,3.845127746370623267e+00,4.105571496906145867e+00,5.589580733829089709e+00,2.222268568485599616e+00,1.867038354811154477e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999997560462675628e-02,2.149265721343885360e+01,0.000000000000000000e+00,2.149265197022490526e+01,2.230364886727523199e+01
2.000000000000000000e+01,8.815016986688584133e-01,3.066684750054296842e+02,9.999976246950400549e-01,3.839950383907152265e+00,4.086387852498106987e+00,5.563004967234853382e+00,2.222268308072469001e+00,1.853939496822070154e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999996388628312749e-02,2.136167077410417647e+01,0.000000000000000000e+00,2.136166305961087275e+01,2.209175351276531529e+01
2.500000000000000000e+01,8.659383623078545922e-01,3.078024342015223169e+02,9.999970542871756685e-01,3.836286639108839935e+00,4.071722710723197913e+00,5.527089031055624879e+00,2.222268015021372278e+00,1.838123008378676815e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999995069926202740e-02,2.120350825648976212e+01,0.000000000000000000e+00,2.120349780300371378e+01,2.186867913772961103e+01
3.000000000000000000e+01,8.534808229872786756e-01,3.086855794579843177e+02,9.999964924554048951e-01,3.833542181363272405e+00,4.060272825825058440e+00,5.486240449152408161e+00,2.222267705039322028e+00,1.820946685338563142e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999993675036407403e-02,2.103174748143085182e+01,0.000000000000000000e+00,2.103173417892714170e+01,2.164469388969656904e+01
3.500000000000000000e+01,8.434148453018955882e-01,3.093684829351704479e+02,9.999959385160116510e-01,3.831337128166454775e+00,4.051186427160167192e+00,5.444723714549819071e+00,2.222267391574605622e+00,1.803830519271998511e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999992264474946713e-02,2.086058825692339980e+01,0.000000000000000000e+00,2.086057212016309137e+01,2.143178930107391622e+01
4.000000000000000000e+01,8.351898123240694138e-01,3.098928579333327207e+02,9.999953916181787417e-01,3.829416283825063161e+00,4.043864027050886989e+00,5.405869820780631052e+00,2.222267084203386034e+00,1.787905938285243224e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999990881333642445e-02,2.070134479680147521e+01,0.000000000000000000e+00,2.070132591993584015e+01,2.123958103613642479e+01
4.500000000000000000e+01,8.283772241392513003e-01,3.102929388124991306e+02,9.999948508154683502e-01,3.827615488942737176e+00,4.037866442841369086e+00,5.371737450718295115e+00,2.222266788408150617e+00,1.773867930747798027e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999989550283168438e-02,2.056096695453137002e+01,0.000000000000000000e+00,2.056094546890312458e+01,2.107355086900195573e+01
