t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,4.143221008661750915e+00,4.291844779668727128e+00,2.471428721914608939e+00,1.645688630067427161e+00,6.593986839500335151e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999949359177132e+00,1.023967574774373546e+01,0.000000000000000000e+00,1.023967540204666449e+01,1.029979853173732529e+01
5.000000000000000000e+00,9.831741316814491816e-01,2.992901556820291944e+02,9.999997233501194405e-01,4.066094053352733440e+00,4.211260982997558244e+00,2.517583287041903262e+00,1.645688607840179118e+00,6.591041918954928747e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999929099651297e+00,1.023673091611983565e+01,0.000000000000000000e+00,1.023673043226130908e+01,1.029509882454124003e+01
1.000000000000000000e+01,9.697124330790737323e-01,3.002019615293543211e+02,9.999994467917462382e-01,4.045576076370329233e+00,4.186645751830761597e+00,2.529520852942080289e+00,1.645688583807129346e+00,6.587680587276294908e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999907194187188e+00,1.023336968048646689e+01,0.000000000000000000e+00,1.023336904734233954e+01,1.028320727586680583e+01
1.500000000000000000e+01,9.588518783073417540e-01,3.009308106606047772e+02,9.999991710939245548e-01,4.033118415762992015e+00,4.170875036270260239e+00,2.536448652036797480e+00,1.645688559105038751e+00,6.584109363823241523e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999884678910655e+00,1.022979855564117102e+01,0.000000000000000000e+00,1.022979776916682937e+01,1.027231719336674054e+01
2.000000000000000000e+01,9.500114009804759840e-01,3.015133016758954909e+02,9.999988962757995203e-01,4.024250106508384661e+00,4.159384472868021376e+00,2.541147925375439875e+00,1.645688534635262767e+00,6.580526458209894791e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999862375382520e+00,1.022621574759835461e+01,0.000000000000000000e+00,1.022621480934566662e+01,1.026282568989211796e+01
2.500000000000000000e+01,9.427481090701198552e-01,3.019787524607879732e+02,9.999986222509248401e-01,4.017477977099568776e+00,4.150545177436647748e+00,2.544576813615377020e+00,1.645688511028210899e+00,6.577093010898822811e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999840858203592e+00,1.022278239431927460e+01,0.000000000000000000e+00,1.022278130973797161e+01,1.025469863512013902e+01
3.000000000000000000e+01,9.367216698965599164e-01,3.023506297213440916e+02,9.999983489168889905e-01,4.012085651698775735e+00,4.143524641098006001e+00,2.547206241138880500e+00,1.645688488663328730e+00,6.573921362696567350e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999820473228329e+00,1.021961083512002944e+01,0.000000000000000000e+00,1.021960961199086881e+01,1.024782472419313528e+01
3.500000000000000000e+01,9.316686698479557105e-01,3.026477104683600032e+02,9.999980761771006810e-01,4.007661787878235238e+00,4.137818832076605169e+00,2.549308057951073625e+00,1.645688467717649095e+00,6.571076286487185669e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999801381817210e+00,1.021676584220423578e+01,0.000000000000000000e+00,1.021676448938059067e+01,1.024207326851210631e+01
4.000000000000000000e+01,9.273840170813929529e-01,3.028850153641455449e+02,9.999978039466410618e-01,4.003944271756820328e+00,4.133092781794541537e+00,2.551052357566842677e+00,1.645688448220921307e+00,6.568583314329115908e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999783611085657e+00,1.021427294753510751e+01,0.000000000000000000e+00,1.021427147403148439e+01,1.023730937011702657e+01
4.500000000000000000e+01,9.237072628441257427e-01,3.030745571938940657e+02,9.999975321531804351e-01,4.000754864469362460e+00,4.129111105527391246e+00,2.552550174124749383e+00,1.645688430105368472e+00,6.566439406360670361e+00,1.500000000000000000e+00,5.000000000000000000e-01,1.499999767099257086e+00,1.021212911154001901e+01,0.000000000000000000e+00,1.021212752593171480e+01,1.023340098365648743e+01
