t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,1.000000000000000000e+00,4.193402413228032088e+00,4.291844779668727128e+00,1.636974289014345718e+00,8.365643745379288676e-01,5.927927562783130710e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.864492165694024983e+00,0.000000000000000000e+00,6.864491933945004121e+00,6.819705023536350552e+00
5.000000000000000000e+00,1.000000000000000000e+00,2.939253888084829214e+02,9.999998125565372487e-01,4.176652556385825221e+00,4.292671854567311485e+00,1.644538138101445002e+00,8.365643745379288676e-01,5.932100047413522148e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.868664650465282406e+00,0.000000000000000000e+00,6.868664418575395558e+00,6.853402871566540711e+00
1.000000000000000000e+01,1.000000000000000000e+00,2.905460188999201137e+02,9.999996255927129374e-01,4.160510388500907375e+00,4.293307755360173061e+00,1.651124251339115556e+00,8.365643745379288676e-01,5.932955229240301165e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869519832320932551e+00,0.000000000000000000e+00,6.869519600402174575e+00,6.882699190286615476e+00
1.500000000000000000e+01,1.000000000000000000e+00,2.878431282303018861e+02,9.999994389096238390e-01,4.145456277004349488e+00,4.293799922416989823e+00,1.657176027069923618e+00,8.365643745379288676e-01,5.933186392356263994e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869750995444699804e+00,0.000000000000000000e+00,6.869750763518137404e+00,6.909489998527346799e+00
2.000000000000000000e+01,1.000000000000000000e+00,2.856816426718430080e+02,9.999992523399103828e-01,4.131808681368758229e+00,4.294182991199895660e+00,1.662668620000949060e+00,8.365643745379288676e-01,5.933264267197462694e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869828870288527511e+00,0.000000000000000000e+00,6.869828638359336104e+00,6.933708673830414781e+00
2.500000000000000000e+01,1.000000000000000000e+00,2.839533849009645223e+02,9.999990657686222972e-01,4.119724062519136254e+00,4.294482558808264017e+00,1.667553406426480755e+00,8.365643745379288676e-01,5.933295522829051372e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869860125921171345e+00,0.000000000000000000e+00,6.869859893990924782e+00,6.955183447932440366e+00
3.000000000000000000e+01,1.000000000000000000e+00,2.825717217576608391e+02,9.999988791260479015e-01,4.109229044597895175e+00,4.294717752564198854e+00,1.671815866241652460e+00,8.365643745379288676e-01,5.933309943617916637e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869874546710523333e+00,0.000000000000000000e+00,6.869874314779790048e+00,6.973881275295938487e+00
3.500000000000000000e+01,1.000000000000000000e+00,2.814672874411213570e+02,9.999986923761393642e-01,4.100258440198236265e+00,4.294903009282180939e+00,1.675475302248847331e+00,8.365643745379288676e-01,5.933317378227658700e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869881981320516751e+00,0.000000000000000000e+00,6.869881749389532111e+00,6.989907690097920678e+00
4.000000000000000000e+01,1.000000000000000000e+00,2.805845558169082210e+02,9.999985053977069605e-01,4.092689887331367515e+00,4.295049323675995900e+00,1.678574757903212422e+00,8.365643745379288676e-01,5.933321565638300932e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869886168731300202e+00,0.000000000000000000e+00,6.869885936800174342e+00,7.003465025540975830e+00
4.500000000000000000e+01,1.000000000000000000e+00,2.798790908981865755e+02,9.999983181073671679e-01,4.086371510983251021e+00,4.295165135369683362e+00,1.681170801326369535e+00,8.365643745379288676e-01,5.933324096475083742e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869888699568168278e+00,0.000000000000000000e+00,6.869888467636957152e+00,7.014809783402697896e+00
5.000000000000000000e+01,1.000000000000000000e+00,2.793153409570036274e+02,9.999981305563148126e-01,4.081141950382112249e+00,4.295256967096060308e+00,1.683325444029013074e+00,8.365643745379288676e-01,5.933325714610530710e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869890317703669425e+00,0.000000000000000000e+00,6.869890085772403232e+00,7.024218863755844922e+00
5.500000000000000000e+01,1.000000000000000000e+00,2.788648690405698858e+02,9.999979427896829032e-01,4.076843590010811091e+00,4.295329889584491134e+00,1.685100498995123042e+00,8.365643745379288676e-01,5.933326796690411520e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869891399783587538e+00,0.000000000000000000e+00,6.869891167852284930e+00,7.031966030225285103e+00
6.000000000000000000e+01,1.000000000000000000e+00,2.785049340026829441e+02,9.999977548459862975e-01,4.073330416673868193e+00,4.295387864250151289e+00,1.686554051625820394e+00,8.365643745379288676e-01,5.933327546690129850e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869892149783330737e+00,0.000000000000000000e+00,6.869891917852003260e+00,7.038307273193298741e+00
6.500000000000000000e+01,1.000000000000000000e+00,2.782173530726382751e+02,9.999975667576490590e-01,4.070471978228246357e+00,4.295433998640668882e+00,1.687738544696418153e+00,8.365643745379288676e-01,5.933328081600619974e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869892684693838625e+00,0.000000000000000000e+00,6.869892452762492496e+00,7.043472977095851739e+00
7.000000000000000000e+01,1.000000000000000000e+00,2.779875904951139773e+02,9.999973785516768077e-01,4.068154717600407366e+00,4.295470738812661615e+00,1.688699992985920550e+00,8.365643745379288676e-01,5.933328471915578106e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869893075008810079e+00,0.000000000000000000e+00,6.869892843077451516e+00,7.047664846185267784e+00
7.500000000000000000e+01,1.000000000000000000e+00,2.778040276194564626e+02,9.999971902503719257e-01,4.066281670388210756e+00,4.295500015552725870e+00,1.689477928484574232e+00,8.365643745379288676e-01,5.933328761960394715e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869893365053636458e+00,0.000000000000000000e+00,6.869893133122268125e+00,7.051055899061235088e+00
8.000000000000000000e+01,1.000000000000000000e+00,2.776573785455244661e+02,9.999970018720288900e-01,4.064771237149691352e+00,4.295523356425546169e+00,1.690105777424547373e+00,8.365643745379288676e-01,5.933328980653948648e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869893583747198385e+00,0.000000000000000000e+00,6.869893351815822058e+00,7.053792266175862302e+00
8.500000000000000000e+01,1.000000000000000000e+00,2.775402224678688867e+02,9.999968134315744273e-01,4.063555511042840074e+00,4.295541972245229267e+00,1.690611460817794898e+00,8.365643745379288676e-01,5.933329147476466225e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869893750569721291e+00,0.000000000000000000e+00,6.869893518638339636e+00,7.055995908115951565e+00
9.000000000000000000e+01,1.000000000000000000e+00,2.774466295310333521e+02,9.999966249411348373e-01,4.062578466741548766e+00,4.295556824213744740e+00,1.691018082067898831e+00,8.365643745379288676e-01,5.933329275917763823e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869893879011023330e+00,0.000000000000000000e+00,6.869893647079637233e+00,7.057767677856654487e+00
9.500000000000000000e+01,1.000000000000000000e+00,2.773718615788314423e+02,9.999964364105285997e-01,4.061794192376883217e+00,4.295568676316711354e+00,1.691344618001410227e+00,8.365643745379288676e-01,5.933329375544155404e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869893978637418464e+00,0.000000000000000000e+00,6.869893746706028814e+00,7.059190374515981858e+00
1.000000000000000000e+02,1.000000000000000000e+00,2.773121328606122233e+02,9.999962478476834837e-01,4.061165262525394226e+00,4.295578136389686108e+00,1.691606566182654925e+00,8.365643745379288676e-01,5.933329453278991750e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894056372257474e+00,0.000000000000000000e+00,6.869893824440865160e+00,7.060331591307672738e+00
1.050000000000000000e+02,1.000000000000000000e+00,2.772644187183303188e+02,9.999960592589873798e-01,4.060661296493937478e+00,4.295585688419587989e+00,1.691816525380649860e+00,8.365643745379288676e-01,5.933329514220184286e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894117313451787e+00,0.000000000000000000e+00,6.869893885382057697e+00,7.061246262268864093e+00
1.100000000000000000e+02,1.000000000000000000e+00,2.772263026580151291e+02,9.999958706495776228e-01,4.060257713378278233e+00,4.295591718026664729e+00,1.691984701045610384e+00,8.365643745379288676e-01,5.933329562176606231e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894165269875508e+00,0.000000000000000000e+00,6.869893933338479641e+00,7.061978875812645384e+00
1.150000000000000000e+02,1.000000000000000000e+00,2.771958541202326387e+02,9.999956820235810229e-01,4.059934676687791288e+00,4.295596532615130414e+00,1.692119336460727874e+00,8.365643745379288676e-01,5.933329600028973694e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894203122243859e+00,0.000000000000000000e+00,6.869893971190847104e+00,7.062565360309449147e+00
1.200000000000000000e+02,1.000000000000000000e+00,2.771715307973852305e+02,9.999954933843081539e-01,4.059676211723258987e+00,4.295600377339164666e+00,1.692227074982404655e+00,8.365643745379288676e-01,5.933329629978229214e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894233071500267e+00,0.000000000000000000e+00,6.869894001140102624e+00,7.063034666777222803e+00
1.250000000000000000e+02,1.000000000000000000e+00,2.771521005749633559e+02,9.999953047344133372e-01,4.059469474904694231e+00,4.295603447773470585e+00,1.692313260969469546e+00,8.365643745379288676e-01,5.933329653720106123e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894256813378064e+00,0.000000000000000000e+00,6.869894024881979533e+00,7.063410082760211317e+00
1.300000000000000000e+02,1.000000000000000000e+00,2.771365791587670628e+02,9.999951160760225388e-01,4.059304153560622019e+00,4.295605899981523201e+00,1.692382187648115321e+00,8.365643745379288676e-01,5.933329672570133440e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894275663406269e+00,0.000000000000000000e+00,6.869894043732006850e+00,7.063710313946379493e+00
1.350000000000000000e+02,1.000000000000000000e+00,2.771241802388092310e+02,9.999949274108378416e-01,4.059171975819197087e+00,4.295607858524335576e+00,1.692437299932350037e+00,8.365643745379288676e-01,5.933329687554635967e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894290647908797e+00,0.000000000000000000e+00,6.869894058716508489e+00,7.063950368861076967e+00
1.400000000000000000e+02,1.000000000000000000e+00,2.771142756718931537e+02,9.999947387402211563e-01,4.059066312254499209e+00,4.295609422836339952e+00,1.692481359543045238e+00,8.365643745379288676e-01,5.933329699477996932e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894302571270650e+00,0.000000000000000000e+00,6.869894070639870343e+00,7.064142278882227011e+00
1.450000000000000000e+02,1.000000000000000000e+00,2.771063636699540780e+02,9.999945500652623886e-01,4.058981853280233310e+00,4.295610672304745137e+00,1.692516578900944646e+00,8.365643745379288676e-01,5.933329708973007932e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894312066281650e+00,0.000000000000000000e+00,6.869894080134881342e+00,7.064295681949030126e+00
1.500000000000000000e+02,1.000000000000000000e+00,2.771000433852590845e+02,9.999943613868326198e-01,4.058914348628754887e+00,4.295611670318193021e+00,1.692544729361371791e+00,8.365643745379288676e-01,5.933329716538966458e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894319632241064e+00,0.000000000000000000e+00,6.869894087700839869e+00,7.064418294322685199e+00
1.550000000000000000e+02,1.000000000000000000e+00,2.770949946066315874e+02,9.999941727056288476e-01,4.058860397437710432e+00,4.295612467495286246e+00,1.692567228493379705e+00,8.365643745379288676e-01,5.933329722570803710e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894325664078316e+00,0.000000000000000000e+00,6.869894093732677121e+00,7.064516290951577737e+00
1.600000000000000000e+02,1.000000000000000000e+00,2.770909615391605030e+02,9.999939840222078491e-01,4.058817279412470391e+00,4.295613104260000092e+00,1.692585210324577094e+00,8.365643745379288676e-01,5.933329727381504881e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894330474779487e+00,0.000000000000000000e+00,6.869894098543378291e+00,7.064594611564074533e+00
1.650000000000000000e+02,1.000000000000000000e+00,2.770877398463210852e+02,9.999937953370147126e-01,4.058782819216784965e+00,4.295613612896681310e+00,1.692599581789659746e+00,8.365643745379288676e-01,5.933329731219513015e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894334312787620e+00,0.000000000000000000e+00,6.869894102381386425e+00,7.064657206620909236e+00
1.700000000000000000e+02,1.000000000000000000e+00,2.770851662984603649e+02,9.999936066504053755e-01,4.058755277673193440e+00,4.295614019190161947e+00,1.692611068037225497e+00,8.365643745379288676e-01,5.933329734282275503e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894337375550109e+00,0.000000000000000000e+00,6.869894105444148913e+00,7.064707234707272576e+00
1.750000000000000000e+02,1.000000000000000000e+00,2.770831105034803272e+02,9.999934179626640551e-01,4.058733264549978514e+00,4.295614343734972529e+00,1.692620248758937684e+00,8.365643745379288676e-01,5.933329736726882686e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894339820157292e+00,0.000000000000000000e+00,6.869894107888756096e+00,7.064747220801942618e+00
1.800000000000000000e+02,1.000000000000000000e+00,2.770814683009378427e+02,9.999932292740181250e-01,4.058715668700884294e+00,4.295614602980585062e+00,1.692627587297634406e+00,8.365643745379288676e-01,5.933329738678412291e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894341771686896e+00,0.000000000000000000e+00,6.869894109840284813e+00,7.064779183081765446e+00
1.850000000000000000e+02,1.000000000000000000e+00,2.770801564849888905e+02,9.999930405846487735e-01,4.058701602136173037e+00,4.295614810065981892e+00,1.692633453955479927e+00,8.365643745379288676e-01,5.933329740236516159e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894343329790765e+00,0.000000000000000000e+00,6.869894111398388681e+00,7.064804734455802482e+00
1.900000000000000000e+02,1.000000000000000000e+00,2.770791085888884595e+02,9.999928518947012179e-01,4.058690355266842076e+00,4.295614975486090614e+00,1.692638144648715537e+00,8.365643745379288676e-01,5.933329741480636521e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894344573912015e+00,0.000000000000000000e+00,6.869894112642509931e+00,7.064825163826204069e+00
1.950000000000000000e+02,1.000000000000000000e+00,2.770782715175107001e+02,9.999926632042913655e-01,4.058681361102592255e+00,4.295615107623985018e+00,1.692641895832322163e+00,8.365643745379288676e-01,5.933329742474128032e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894345567403526e+00,0.000000000000000000e+00,6.869894113636001443e+00,7.064841501099006216e+00
2.000000000000000000e+02,1.000000000000000000e+00,2.770776028573062035e+02,9.999924745135116977e-01,4.058674166620403589e+00,4.295615213175926428e+00,1.692644896436674928e+00,8.365643745379288676e-01,5.933329743267528045e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894346360803539e+00,0.000000000000000000e+00,6.869894114429401455e+00,7.064854569178550037e+00
2.050000000000000000e+02,1.000000000000000000e+00,2.770770687274191459e+02,9.999922858224360445e-01,4.058668409872700167e+00,4.295615297490824602e+00,1.692647297412137819e+00,8.365643745379288676e-01,5.933329743901166964e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894346994442458e+00,0.000000000000000000e+00,6.869894115063040374e+00,7.064865025541643639e+00
2.100000000000000000e+02,1.000000000000000000e+00,2.770766420631044298e+02,9.999920971311238027e-01,4.058663801687853123e+00,4.295615364841369299e+00,1.692649219359375623e+00,8.365643745379288676e-01,5.933329744407235040e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894347500510534e+00,0.000000000000000000e+00,6.869894115569108450e+00,7.064873395473277640e+00
2.150000000000000000e+02,1.000000000000000000e+00,2.770763012444769515e+02,9.999919084396218238e-01,4.058660111043819185e+00,4.295615418640593042e+00,1.692650758628437835e+00,8.365643745379288676e-01,5.933329744811426387e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894347904701881e+00,0.000000000000000000e+00,6.869894115973299797e+00,7.064880098632276173e+00
2.200000000000000000e+02,1.000000000000000000e+00,2.770760290011246525e+02,9.999917197479680775e-01,4.058657153378996796e+00,4.295615461614840314e+00,1.692651992193197064e+00,8.365643745379288676e-01,5.933329745134256150e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894348227531644e+00,0.000000000000000000e+00,6.869894116296129560e+00,7.064885470282835200e+00
2.250000000000000000e+02,1.000000000000000000e+00,2.770758115370871906e+02,9.999915310561925397e-01,4.058654781251316734e+00,4.295615495941939699e+00,1.692652981546741042e+00,8.365643745379288676e-01,5.933329745392106780e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894348485382274e+00,0.000000000000000000e+00,6.869894116553980190e+00,7.064889778261349562e+00
2.300000000000000000e+02,1.000000000000000000e+00,2.770756378318695852e+02,9.999913423643193022e-01,4.058652876874345061e+00,4.295615523361560051e+00,1.692653775814052963e+00,8.365643745379288676e-01,5.933329745598056704e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894348691332198e+00,0.000000000000000000e+00,6.869894116759930114e+00,7.064893236534066645e+00
2.350000000000000000e+02,1.000000000000000000e+00,2.770754990820764760e+02,9.999911536723676830e-01,4.058651346153617112e+00,4.295615545263371970e+00,1.692654414239111560e+00,8.365643745379288676e-01,5.933329745762555341e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.999999662394515321e-02,6.869894348855830835e+00,0.000000000000000000e+00,6.869894116924428751e+00,7.064896016029918790e+00
