t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat
0.000000000000000000e+00,1.000000000000000000e+00,2.981499999999999773e+02,5.000000000000000000e-01,3.773661019726310073e+00,4.291844779668727128e+00,5.744501564249673287e+00,2.222269035591419417e+00,1.885553261543071102e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999662394515321e-02,2.167780236262030513e+01,0.000000000000000000e+00,2.167780163076580635e+01,2.400417571129968408e+01
5.000000000000000000e+00,9.531405394538694509e-01,3.011964585530179761e+02,4.999993628844424109e-01,3.668784982685726170e+00,4.163369899046257316e+00,5.865789800427823053e+00,2.222268919092898809e+00,1.882287215605631658e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999999138162231349e-02,2.164514288889911597e+01,0.000000000000000000e+00,2.164514102343894919e+01,2.377210026802693932e+01
1.000000000000000000e+01,9.168867535556195492e-01,3.036017282600937506e+02,4.999987389305388663e-01,3.651359662909116288e+00,4.121841177100348474e+00,5.850069651385080505e+00,2.222268715142001305e+00,1.875743395699296912e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999998220402558924e-02,2.157970640567815579e+01,0.000000000000000000e+00,2.157970256535912412e+01,2.346567062613279475e+01
1.500000000000000000e+01,8.883472633899296422e-01,3.054947863875377720e+02,4.999981288095213250e-01,3.640606331144791152e+00,4.093128711611856652e+00,5.818843349327184278e+00,2.222268410759805857e+00,1.865036169290656787e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999996850711578844e-02,2.147263667706167567e+01,0.000000000000000000e+00,2.147262991470907068e+01,2.317310244354354865e+01
2.000000000000000000e+01,8.655234546193683043e-01,3.069782259536122524e+02,4.999975314345758703e-01,3.632967072407565556e+00,4.071524098331125607e+00,5.776398728277481354e+00,2.222268005892145570e+00,1.850197389499590628e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999995028845548584e-02,2.132425220323391457e+01,0.000000000000000000e+00,2.132424160261878754e+01,2.287902965826913260e+01
2.500000000000000000e+01,8.470105883332293972e-01,3.081333590207465249e+02,4.999969459474938871e-01,3.627323535526111975e+00,4.054636045792268106e+00,5.726184137353643955e+00,2.222267510858419559e+00,1.832263137793374597e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999992801240782658e-02,2.114491367858083848e+01,0.000000000000000000e+00,2.114489845686661340e+01,2.258326041951477947e+01
3.000000000000000000e+01,8.317840680982376833e-01,3.090259529669035032e+02,4.999963714927244118e-01,3.622975490440468960e+00,4.041096906929833921e+00,5.672887295000060170e+00,2.222266941365472093e+00,1.812885563774674225e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999990238576590695e-02,2.095114244472404508e+01,0.000000000000000000e+00,2.095112199342681336e+01,2.229617347914180669e+01
3.500000000000000000e+01,8.190718692380872801e-01,3.097100403169189349e+02,4.999958070547879663e-01,3.619384940083950397e+00,4.030009250494080320e+00,5.621227012601582196e+00,2.222266313399515081e+00,1.793759002656263135e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999987412789407282e-02,2.075988171562981677e+01,0.000000000000000000e+00,2.075985558472951453e+01,2.203082653934298207e+01
4.000000000000000000e+01,8.082798724850553951e-01,3.102301948772027345e+02,4.999952514546919802e-01,3.616153499361424384e+00,4.020740223844746275e+00,5.574780613637241089e+00,2.222265639543009819e+00,1.776185250573028895e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999984380499114811e-02,2.058414935951716274e+01,0.000000000000000000e+00,2.058411720810324752e+01,2.179725232298955007e+01
4.500000000000000000e+01,7.989470536803435774e-01,3.106229253241045853e+02,4.999947034409226165e-01,3.613014673264209442e+00,4.012826670889752201e+00,5.535542715857356910e+00,2.222264927237830090e+00,1.760912190526122956e+01,1.000000000000000056e-01,5.000000000000000000e-01,9.999981175193438376e-02,2.043142416477143897e+01,0.000000000000000000e+00,2.043138570301066892e+01,2.160026918485952407e+01
